dataset,aggregate_type,delta,edge,APE_freq
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.01,"('Create Fine', 'Send Fine')",0.000746374967647824
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.01,"('Send Fine', 'Insert Fine Notification')",0.00030254378968434884
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.01,"('Add penalty', 'Send for Credit Collection')",0.0013577095400863525
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.01,"('Insert Fine Notification', 'Insert Date Appeal to Prefecture')",0.00624164107608942
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.01,"('Insert Date Appeal to Prefecture', 'Add penalty')",0.003786872241445474
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.01,"('Add penalty', 'Send Appeal to Prefecture')",0.005194520727349999
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.01,"('Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture')",0.002236800956376009
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.01,"('Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender')",0.005194991678728365
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.01,"('Notify Result Appeal to Offender', 'Payment')",0.038736083427426966
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.01,"('Insert Fine Notification', 'Appeal to Judge')",0.07583103523568749
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.01,"('Appeal to Judge', 'Add penalty')",0.18918811187659457
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.05,"('Create Fine', 'Send Fine')",1.289094540613316e-06
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.05,"('Send Fine', 'Insert Fine Notification')",2.230699516085343e-05
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.05,"('Add penalty', 'Send for Credit Collection')",8.608576789693846e-05
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.05,"('Insert Fine Notification', 'Insert Date Appeal to Prefecture')",0.0011936240890453409
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.05,"('Insert Date Appeal to Prefecture', 'Add penalty')",0.00023179889473056575
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.05,"('Add penalty', 'Send Appeal to Prefecture')",0.009371834354646918
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.05,"('Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture')",0.0009219296812545025
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.05,"('Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender')",0.011743655904351051
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.05,"('Notify Result Appeal to Offender', 'Payment')",0.04887571200381438
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.05,"('Insert Fine Notification', 'Appeal to Judge')",0.010721429085678295
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.05,"('Appeal to Judge', 'Add penalty')",0.003830240049123098
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.1,"('Create Fine', 'Send Fine')",1.2525439715625322e-05
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.1,"('Send Fine', 'Insert Fine Notification')",6.09048697917773e-05
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.1,"('Add penalty', 'Send for Credit Collection')",9.246010841747861e-06
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.1,"('Insert Fine Notification', 'Insert Date Appeal to Prefecture')",0.001493494296271509
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.1,"('Insert Date Appeal to Prefecture', 'Add penalty')",0.00032346851576333155
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.1,"('Add penalty', 'Send Appeal to Prefecture')",7.907786589190065e-05
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.1,"('Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture')",0.0021150111793320084
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.1,"('Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender')",0.0019850587737579107
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.1,"('Notify Result Appeal to Offender', 'Payment')",0.00803971273336663
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.1,"('Insert Fine Notification', 'Appeal to Judge')",0.0396434254474202
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.1,"('Appeal to Judge', 'Add penalty')",0.0029509745017882367
