dataset,aggregate_type,delta,median_epsilon,MAPE,SMAPE
BPIC12,AggregateType.AVG,0.01,0.0015992800065734833,1.8353877285080984,0.40254361812190426
BPIC12,AggregateType.AVG,0.05,0.0061907359971968695,0.568659866738674,0.1815114350805015
BPIC12,AggregateType.AVG,0.1,0.01144180136196199,0.3197031794138055,0.11404692518090434
BPIC12,AggregateType.AVG,0.2,0.0204564753356001,0.233786896273423,0.08313184183531415
BPIC12,AggregateType.AVG,0.3,0.029244792824266418,0.1878451868720782,0.06446777054051112
BPIC12,AggregateType.AVG,0.4,0.03823605034622795,0.17389970230946344,0.056521077878231143
BPIC12,AggregateType.AVG,0.5,0.04916683653771803,0.135511792443767,0.04875308754633364
BPIC12,AggregateType.AVG,0.6,0.05956704413274254,0.12206653952217852,0.04373164925506372
BPIC12,AggregateType.AVG,0.7,0.08058669178367896,0.11575902548920816,0.041186709261219305
BPIC12,AggregateType.AVG,0.8,0.11311178659509283,0.09103332949626475,0.0333426559626221
BPIC12,AggregateType.AVG,0.9,0.2690979920082502,0.10166085568215051,0.03258936228443445
BPIC12,AggregateType.FREQ,0.01,0.04000133341333913,3.6656754678004595,0.2807600267885645
BPIC12,AggregateType.FREQ,0.05,0.20016691711396528,0.7159893230173839,0.12697036190763974
BPIC12,AggregateType.FREQ,0.1,0.40134139092430254,0.3468663156932217,0.08778505126235717
BPIC12,AggregateType.FREQ,0.2,0.810930216216329,0.17259453878756667,0.05375932144566435
BPIC12,AggregateType.FREQ,0.3,1.2380784168124461,0.09760954937336566,0.03601855961660806
BPIC12,AggregateType.FREQ,0.4,1.6945957207744073,0.07178754252950473,0.028573813598726166
BPIC12,AggregateType.FREQ,0.5,2.197224577336219,0.07578890351635086,0.027465628494937493
BPIC12,AggregateType.FREQ,0.6,2.772588722239781,0.050204253284479125,0.02067278190162091
BPIC12,AggregateType.FREQ,0.7,3.4692021107762123,0.04394544635311552,0.01801397078228365
BPIC12,AggregateType.FREQ,0.8,4.394449154672437,0.03154235818003475,0.013805307713757445
BPIC12,AggregateType.FREQ,0.9,5.888877958332883,0.023176341799338713,0.010340734366149603
