dataset,aggregate_type,emd,delta
Sepsis,AggregateType.AVG,0.01,0.5667329381009552
Sepsis,AggregateType.AVG,0.01,0.9960629921259844
Sepsis,AggregateType.AVG,0.01,0.9634340222575517
Sepsis,AggregateType.AVG,0.01,0.6393838877651191
Sepsis,AggregateType.AVG,0.01,0.9988950276243095
Sepsis,AggregateType.AVG,0.01,0.9859649122807018
Sepsis,AggregateType.AVG,0.01,0.9700598802395209
Sepsis,AggregateType.AVG,0.01,0.9979550102249489
Sepsis,AggregateType.AVG,0.01,0.9728815165884996
Sepsis,AggregateType.AVG,0.01,0.9986159169550173
Sepsis,AggregateType.AVG,0.01,0.993449779714377
Sepsis,AggregateType.AVG,0.01,0.965243539189537
Sepsis,AggregateType.AVG,0.01,0.9911111101072948
Sepsis,AggregateType.AVG,0.01,0.9855818397077654
Sepsis,AggregateType.AVG,0.01,0.9583198169556354
Sepsis,AggregateType.AVG,0.01,0.9876106194690265
Sepsis,AggregateType.AVG,0.01,0.8888870731864377
Sepsis,AggregateType.AVG,0.01,0.9844719378211962
Sepsis,AggregateType.AVG,0.01,0.9888475833803261
Sepsis,AggregateType.AVG,0.01,0.9729728135287901
Sepsis,AggregateType.AVG,0.01,0.9828569741120381
Sepsis,AggregateType.AVG,0.01,0.9411446935177943
Sepsis,AggregateType.AVG,0.01,0.932202067771769
Sepsis,AggregateType.AVG,0.01,0.9607696039694942
Sepsis,AggregateType.AVG,0.01,0.8912891876499062
Sepsis,AggregateType.AVG,0.01,0.9347826086956504
Sepsis,AggregateType.AVG,0.01,0.9425287356321839
Sepsis,AggregateType.AVG,0.01,0.9550315622959661
Sepsis,AggregateType.AVG,0.01,0.9354838709677396
Sepsis,AggregateType.AVG,0.01,0.7687962197261203
Sepsis,AggregateType.AVG,0.01,0.9137401719286686
Sepsis,AggregateType.AVG,0.01,0.9285714152999457
Sepsis,AggregateType.AVG,0.01,0.9876237623762376
Sepsis,AggregateType.AVG,0.01,0.9738562091503163
Sepsis,AggregateType.AVG,0.01,0.9444401374197492
Sepsis,AggregateType.AVG,0.01,0.49457331511584635
Sepsis,AggregateType.AVG,0.01,0.9839572192513368
Sepsis,AggregateType.AVG,0.01,0.8231033021588031
Sepsis,AggregateType.AVG,0.01,0.9605263157884993
Sepsis,AggregateType.AVG,0.01,0.9245283013823895
Sepsis,AggregateType.AVG,0.01,0.9407718914244229
Sepsis,AggregateType.AVG,0.01,0.96772565636156
Sepsis,AggregateType.AVG,0.01,0.9864863949030178
Sepsis,AggregateType.AVG,0.01,0.7514471706847572
Sepsis,AggregateType.AVG,0.01,0.670249954685662
Sepsis,AggregateType.AVG,0.01,0.9791666666666666
Sepsis,AggregateType.AVG,0.01,0.7491051271664961
Sepsis,AggregateType.AVG,0.01,0.8289778041297713
Sepsis,AggregateType.AVG,0.01,0.8414910116093298
Sepsis,AggregateType.AVG,0.01,0.9636363636363634
Sepsis,AggregateType.AVG,0.01,0.7762926303650722
Sepsis,AggregateType.AVG,0.01,0.9347823522786204
Sepsis,AggregateType.AVG,0.01,0.5350697054485856
Sepsis,AggregateType.AVG,0.01,0.9722222222222222
Sepsis,AggregateType.AVG,0.01,0.9807692307692307
Sepsis,AggregateType.AVG,0.01,0.8809480665606655
Sepsis,AggregateType.AVG,0.01,0.9411764701907959
Sepsis,AggregateType.AVG,0.01,0.9228448168000732
Sepsis,AggregateType.AVG,0.01,0.6302594958701615
Sepsis,AggregateType.AVG,0.01,0.8666369724349515
Sepsis,AggregateType.AVG,0.01,0.7241649033494751
Sepsis,AggregateType.AVG,0.01,0.8329766162822964
Sepsis,AggregateType.AVG,0.01,0.7472809269481286
Sepsis,AggregateType.AVG,0.01,0.7264573386176872
Sepsis,AggregateType.AVG,0.01,0.7769329757242444
Sepsis,AggregateType.AVG,0.01,0.3176480778032158
Sepsis,AggregateType.AVG,0.01,0.874982085376885
Sepsis,AggregateType.AVG,0.01,0.8608253868448019
Sepsis,AggregateType.AVG,0.01,0.748057166818811
Sepsis,AggregateType.AVG,0.01,0.6993042008831838
Sepsis,AggregateType.AVG,0.01,0.7995870101157875
Sepsis,AggregateType.AVG,0.01,0.7992277784953453
Sepsis,AggregateType.AVG,0.01,0.8124439772693013
Sepsis,AggregateType.AVG,0.01,0.7258349804154418
Sepsis,AggregateType.AVG,0.01,0.781599493651487
Sepsis,AggregateType.AVG,0.01,0.5668595442784491
Sepsis,AggregateType.AVG,0.01,0.9142825624749022
Sepsis,AggregateType.AVG,0.01,0.7988320547965434
Sepsis,AggregateType.AVG,0.01,0.5390528957240203
Sepsis,AggregateType.AVG,0.01,0.8156469106097938
Sepsis,AggregateType.AVG,0.01,0.5411087115654969
Sepsis,AggregateType.AVG,0.01,0.8571043832274367
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.7999859579534102
Sepsis,AggregateType.AVG,0.01,0.8468703333439814
Sepsis,AggregateType.AVG,0.01,0.7136001654168634
Sepsis,AggregateType.AVG,0.01,0.7484452876055483
Sepsis,AggregateType.AVG,0.01,0.47501628530982953
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.6388222559234751
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.6418896283398003
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.7342708561316882
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.494497337088068
Sepsis,AggregateType.AVG,0.01,0.49057584484416183
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.4936107424563899
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.48941095303588333
Sepsis,AggregateType.AVG,0.01,0.7999857565903036
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.0
Sepsis,AggregateType.AVG,0.01,0.0
