dataset,aggregate_type,emd,delta
Sepsis,AggregateType.FREQ,0.01,0.9999653966839283
Sepsis,AggregateType.FREQ,0.01,0.06466176491941172
Sepsis,AggregateType.FREQ,0.01,0.1810183918208571
Sepsis,AggregateType.FREQ,0.01,0.9999998560628757
Sepsis,AggregateType.FREQ,0.01,0.12653279736542183
Sepsis,AggregateType.FREQ,0.01,0.3833341432583718
Sepsis,AggregateType.FREQ,0.01,0.22583752845901228
Sepsis,AggregateType.FREQ,0.01,0.231182286377501
Sepsis,AggregateType.FREQ,0.01,0.30225856670755413
Sepsis,AggregateType.FREQ,0.01,0.07950606147355396
Sepsis,AggregateType.FREQ,0.01,0.24620973089226808
Sepsis,AggregateType.FREQ,0.01,0.34801529607117854
Sepsis,AggregateType.FREQ,0.01,0.47125747745481544
Sepsis,AggregateType.FREQ,0.01,0.11801520490104551
Sepsis,AggregateType.FREQ,0.01,0.983627059232982
Sepsis,AggregateType.FREQ,0.01,0.2009943903153605
Sepsis,AggregateType.FREQ,0.01,0.9966693547766861
Sepsis,AggregateType.FREQ,0.01,0.34304912843519125
Sepsis,AggregateType.FREQ,0.01,0.40363998266552337
Sepsis,AggregateType.FREQ,0.01,0.776780158760285
Sepsis,AggregateType.FREQ,0.01,0.5769518029001094
Sepsis,AggregateType.FREQ,0.01,0.2749210975109597
Sepsis,AggregateType.FREQ,0.01,0.5367873233552145
Sepsis,AggregateType.FREQ,0.01,0.8105801067566057
Sepsis,AggregateType.FREQ,0.01,0.3945140659066186
Sepsis,AggregateType.FREQ,0.01,0.9866888124454906
Sepsis,AggregateType.FREQ,0.01,0.2586536194524216
Sepsis,AggregateType.FREQ,0.01,0.8600631231203146
Sepsis,AggregateType.FREQ,0.01,0.9523937275304186
Sepsis,AggregateType.FREQ,0.01,0.9764061253303925
Sepsis,AggregateType.FREQ,0.01,0.7547968765536951
Sepsis,AggregateType.FREQ,0.01,0.999463604739475
Sepsis,AggregateType.FREQ,0.01,0.2775018012699112
Sepsis,AggregateType.FREQ,0.01,0.636625434866021
Sepsis,AggregateType.FREQ,0.01,0.9999944348966808
Sepsis,AggregateType.FREQ,0.01,1.0
Sepsis,AggregateType.FREQ,0.01,0.5481021657778294
Sepsis,AggregateType.FREQ,0.01,0.9999973777355633
Sepsis,AggregateType.FREQ,0.01,0.907797478758377
Sepsis,AggregateType.FREQ,0.01,0.9743765542159478
Sepsis,AggregateType.FREQ,0.01,0.8105801067566057
Sepsis,AggregateType.FREQ,0.01,0.7298758986700875
Sepsis,AggregateType.FREQ,0.01,0.6514999205396473
Sepsis,AggregateType.FREQ,0.01,0.9181498429798906
Sepsis,AggregateType.FREQ,0.01,0.9999430409048468
Sepsis,AggregateType.FREQ,0.01,0.983627059232982
Sepsis,AggregateType.FREQ,0.01,0.999980000199998
Sepsis,AggregateType.FREQ,0.01,0.9927484958517437
Sepsis,AggregateType.FREQ,0.01,0.9999890888699643
Sepsis,AggregateType.FREQ,0.01,0.9700568870335003
Sepsis,AggregateType.FREQ,0.01,0.8898799700286824
Sepsis,AggregateType.FREQ,0.01,0.9866888124454906
