dataset,aggregate_type,emd,delta
BPIC12,AggregateType.AVG,0.01,0.008796995854459694
BPIC12,AggregateType.AVG,0.01,0.01562642637247483
BPIC12,AggregateType.AVG,0.01,0.02251316276558008
BPIC12,AggregateType.AVG,0.01,0.039968018198184775
BPIC12,AggregateType.AVG,0.01,0.039583453533590975
BPIC12,AggregateType.AVG,0.01,0.039583453533590975
BPIC12,AggregateType.AVG,0.01,0.016375385939104006
BPIC12,AggregateType.AVG,0.01,0.017355298431923787
BPIC12,AggregateType.AVG,0.01,0.03536608449395419
BPIC12,AggregateType.AVG,0.01,0.03331981359184097
BPIC12,AggregateType.AVG,0.01,0.10100061737933312
BPIC12,AggregateType.AVG,0.01,0.174242422620485
BPIC12,AggregateType.AVG,0.01,0.17016318376997203
BPIC12,AggregateType.AVG,0.01,0.1024334401423118
BPIC12,AggregateType.AVG,0.01,0.02428921930745008
BPIC12,AggregateType.AVG,0.01,0.04574509056985339
BPIC12,AggregateType.AVG,0.01,0.2918602960067872
BPIC12,AggregateType.AVG,0.01,0.019474657156125022
BPIC12,AggregateType.AVG,0.01,0.02108668045882701
BPIC12,AggregateType.AVG,0.01,0.26805910551067097
BPIC12,AggregateType.AVG,0.01,0.14822452357233243
BPIC12,AggregateType.AVG,0.01,0.14489105444005448
BPIC12,AggregateType.AVG,0.01,0.07390311841551372
BPIC12,AggregateType.AVG,0.01,0.11014615682005821
BPIC12,AggregateType.AVG,0.01,0.9654008699597997
BPIC12,AggregateType.AVG,0.01,0.93766369041579
BPIC12,AggregateType.SUM,0.01,0.008796995854459694
BPIC12,AggregateType.SUM,0.01,0.01562642637247483
BPIC12,AggregateType.SUM,0.01,0.02251316276558008
BPIC12,AggregateType.SUM,0.01,0.039968018198184775
BPIC12,AggregateType.SUM,0.01,0.039583453533590975
BPIC12,AggregateType.SUM,0.01,0.039583453533590975
BPIC12,AggregateType.SUM,0.01,0.016375385939104006
BPIC12,AggregateType.SUM,0.01,0.017355298431923787
BPIC12,AggregateType.SUM,0.01,0.03536608449395419
BPIC12,AggregateType.SUM,0.01,0.03331981359184097
BPIC12,AggregateType.SUM,0.01,0.10100061737933312
BPIC12,AggregateType.SUM,0.01,0.174242422620485
BPIC12,AggregateType.SUM,0.01,0.17016318376997203
BPIC12,AggregateType.SUM,0.01,0.1024334401423118
BPIC12,AggregateType.SUM,0.01,0.02428921930745008
BPIC12,AggregateType.SUM,0.01,0.04574509056985339
BPIC12,AggregateType.SUM,0.01,0.2918602960067872
BPIC12,AggregateType.SUM,0.01,0.019474657156125022
BPIC12,AggregateType.SUM,0.01,0.02108668045882701
BPIC12,AggregateType.SUM,0.01,0.26805910551067097
BPIC12,AggregateType.SUM,0.01,0.14822452357233243
BPIC12,AggregateType.SUM,0.01,0.14489105444005448
BPIC12,AggregateType.SUM,0.01,0.07390311841551372
BPIC12,AggregateType.SUM,0.01,0.11014615682005821
BPIC12,AggregateType.SUM,0.01,0.9654008699597997
BPIC12,AggregateType.SUM,0.01,0.93766369041579
BPIC12,AggregateType.MIN,0.01,0.008796995854459694
BPIC12,AggregateType.MIN,0.01,0.01562642637247483
BPIC12,AggregateType.MIN,0.01,0.02251316276558008
BPIC12,AggregateType.MIN,0.01,0.039968018198184775
BPIC12,AggregateType.MIN,0.01,0.039583453533590975
BPIC12,AggregateType.MIN,0.01,0.039583453533590975
BPIC12,AggregateType.MIN,0.01,0.016375385939104006
BPIC12,AggregateType.MIN,0.01,0.017355298431923787
BPIC12,AggregateType.MIN,0.01,0.03536608449395419
BPIC12,AggregateType.MIN,0.01,0.03331981359184097
BPIC12,AggregateType.MIN,0.01,0.10100061737933312
BPIC12,AggregateType.MIN,0.01,0.174242422620485
BPIC12,AggregateType.MIN,0.01,0.17016318376997203
BPIC12,AggregateType.MIN,0.01,0.1024334401423118
BPIC12,AggregateType.MIN,0.01,0.02428921930745008
BPIC12,AggregateType.MIN,0.01,0.04574509056985339
BPIC12,AggregateType.MIN,0.01,0.2918602960067872
BPIC12,AggregateType.MIN,0.01,0.019474657156125022
BPIC12,AggregateType.MIN,0.01,0.02108668045882701
BPIC12,AggregateType.MIN,0.01,0.26805910551067097
BPIC12,AggregateType.MIN,0.01,0.14822452357233243
BPIC12,AggregateType.MIN,0.01,0.14489105444005448
BPIC12,AggregateType.MIN,0.01,0.07390311841551372
BPIC12,AggregateType.MIN,0.01,0.11014615682005821
BPIC12,AggregateType.MIN,0.01,0.9654008699597997
BPIC12,AggregateType.MIN,0.01,0.93766369041579
BPIC12,AggregateType.MAX,0.01,0.008796995854459694
BPIC12,AggregateType.MAX,0.01,0.01562642637247483
BPIC12,AggregateType.MAX,0.01,0.02251316276558008
BPIC12,AggregateType.MAX,0.01,0.039968018198184775
BPIC12,AggregateType.MAX,0.01,0.039583453533590975
BPIC12,AggregateType.MAX,0.01,0.039583453533590975
BPIC12,AggregateType.MAX,0.01,0.016375385939104006
BPIC12,AggregateType.MAX,0.01,0.017355298431923787
BPIC12,AggregateType.MAX,0.01,0.03536608449395419
BPIC12,AggregateType.MAX,0.01,0.03331981359184097
BPIC12,AggregateType.MAX,0.01,0.10100061737933312
BPIC12,AggregateType.MAX,0.01,0.174242422620485
BPIC12,AggregateType.MAX,0.01,0.17016318376997203
BPIC12,AggregateType.MAX,0.01,0.1024334401423118
BPIC12,AggregateType.MAX,0.01,0.02428921930745008
BPIC12,AggregateType.MAX,0.01,0.04574509056985339
BPIC12,AggregateType.MAX,0.01,0.2918602960067872
BPIC12,AggregateType.MAX,0.01,0.019474657156125022
BPIC12,AggregateType.MAX,0.01,0.02108668045882701
BPIC12,AggregateType.MAX,0.01,0.26805910551067097
BPIC12,AggregateType.MAX,0.01,0.14822452357233243
BPIC12,AggregateType.MAX,0.01,0.14489105444005448
BPIC12,AggregateType.MAX,0.01,0.07390311841551372
BPIC12,AggregateType.MAX,0.01,0.11014615682005821
BPIC12,AggregateType.MAX,0.01,0.9654008699597997
BPIC12,AggregateType.MAX,0.01,0.93766369041579
BPIC12,AggregateType.AVG,0.05,0.0017594427424172936
BPIC12,AggregateType.AVG,0.05,0.003125529516818211
BPIC12,AggregateType.AVG,0.05,0.004503363049522194
BPIC12,AggregateType.AVG,0.05,0.00799769363897327
BPIC12,AggregateType.AVG,0.05,0.007920663707697902
BPIC12,AggregateType.AVG,0.05,0.007920663707697902
BPIC12,AggregateType.AVG,0.05,0.0032753582630837596
BPIC12,AggregateType.AVG,0.05,0.003471394306955472
BPIC12,AggregateType.AVG,0.05,0.007076049975306648
BPIC12,AggregateType.AVG,0.05,0.006666331741880468
BPIC12,AggregateType.AVG,0.05,0.020266459612721156
BPIC12,AggregateType.AVG,0.05,0.035193182703350354
BPIC12,AggregateType.AVG,0.05,0.0343534179631553
BPIC12,AggregateType.AVG,0.05,0.02055589947470863
BPIC12,AggregateType.AVG,0.05,0.004858761285940301
BPIC12,AggregateType.AVG,0.05,0.00915515212634856
BPIC12,AggregateType.AVG,0.05,0.06004738795200233
BPIC12,AggregateType.AVG,0.05,0.003895404240124902
BPIC12,AggregateType.AVG,0.05,0.004217936321381672
BPIC12,AggregateType.AVG,0.05,0.05489904470669031
BPIC12,AggregateType.AVG,0.05,0.029856041094806635
BPIC12,AggregateType.AVG,0.05,0.029175305775238327
BPIC12,AggregateType.AVG,0.05,0.014806539004188142
BPIC12,AggregateType.AVG,0.05,0.022115366513034175
BPIC12,AggregateType.AVG,0.05,0.3833341432583718
BPIC12,AggregateType.AVG,0.05,0.3307493516741734
BPIC12,AggregateType.SUM,0.05,0.0017594427424172936
BPIC12,AggregateType.SUM,0.05,0.003125529516818211
BPIC12,AggregateType.SUM,0.05,0.004503363049522194
BPIC12,AggregateType.SUM,0.05,0.00799769363897327
BPIC12,AggregateType.SUM,0.05,0.007920663707697902
BPIC12,AggregateType.SUM,0.05,0.007920663707697902
BPIC12,AggregateType.SUM,0.05,0.0032753582630837596
BPIC12,AggregateType.SUM,0.05,0.003471394306955472
BPIC12,AggregateType.SUM,0.05,0.007076049975306648
BPIC12,AggregateType.SUM,0.05,0.006666331741880468
BPIC12,AggregateType.SUM,0.05,0.020266459612721156
BPIC12,AggregateType.SUM,0.05,0.035193182703350354
BPIC12,AggregateType.SUM,0.05,0.0343534179631553
BPIC12,AggregateType.SUM,0.05,0.02055589947470863
BPIC12,AggregateType.SUM,0.05,0.004858761285940301
BPIC12,AggregateType.SUM,0.05,0.00915515212634856
BPIC12,AggregateType.SUM,0.05,0.06004738795200233
BPIC12,AggregateType.SUM,0.05,0.003895404240124902
BPIC12,AggregateType.SUM,0.05,0.004217936321381672
BPIC12,AggregateType.SUM,0.05,0.05489904470669031
BPIC12,AggregateType.SUM,0.05,0.029856041094806635
BPIC12,AggregateType.SUM,0.05,0.029175305775238327
BPIC12,AggregateType.SUM,0.05,0.014806539004188142
BPIC12,AggregateType.SUM,0.05,0.022115366513034175
BPIC12,AggregateType.SUM,0.05,0.3833341432583718
BPIC12,AggregateType.SUM,0.05,0.3307493516741734
BPIC12,AggregateType.MIN,0.05,0.0017594427424172936
BPIC12,AggregateType.MIN,0.05,0.003125529516818211
BPIC12,AggregateType.MIN,0.05,0.004503363049522194
BPIC12,AggregateType.MIN,0.05,0.00799769363897327
BPIC12,AggregateType.MIN,0.05,0.007920663707697902
BPIC12,AggregateType.MIN,0.05,0.007920663707697902
BPIC12,AggregateType.MIN,0.05,0.0032753582630837596
BPIC12,AggregateType.MIN,0.05,0.003471394306955472
BPIC12,AggregateType.MIN,0.05,0.007076049975306648
BPIC12,AggregateType.MIN,0.05,0.006666331741880468
BPIC12,AggregateType.MIN,0.05,0.020266459612721156
BPIC12,AggregateType.MIN,0.05,0.035193182703350354
BPIC12,AggregateType.MIN,0.05,0.0343534179631553
BPIC12,AggregateType.MIN,0.05,0.02055589947470863
BPIC12,AggregateType.MIN,0.05,0.004858761285940301
BPIC12,AggregateType.MIN,0.05,0.00915515212634856
BPIC12,AggregateType.MIN,0.05,0.06004738795200233
BPIC12,AggregateType.MIN,0.05,0.003895404240124902
BPIC12,AggregateType.MIN,0.05,0.004217936321381672
BPIC12,AggregateType.MIN,0.05,0.05489904470669031
BPIC12,AggregateType.MIN,0.05,0.029856041094806635
BPIC12,AggregateType.MIN,0.05,0.029175305775238327
BPIC12,AggregateType.MIN,0.05,0.014806539004188142
BPIC12,AggregateType.MIN,0.05,0.022115366513034175
BPIC12,AggregateType.MIN,0.05,0.3833341432583718
BPIC12,AggregateType.MIN,0.05,0.3307493516741734
BPIC12,AggregateType.MAX,0.05,0.0017594427424172936
BPIC12,AggregateType.MAX,0.05,0.003125529516818211
BPIC12,AggregateType.MAX,0.05,0.004503363049522194
