dataset,aggregate_type,emd,delta
BPIC15,AggregateType.AVG,0.9,0.0018326826767545495
BPIC15,AggregateType.AVG,0.9,0.0032632892850305594
BPIC15,AggregateType.AVG,0.9,0.003563254948650265
BPIC15,AggregateType.AVG,0.9,0.0017571601977734782
BPIC15,AggregateType.AVG,0.9,0.011220703970304727
BPIC15,AggregateType.AVG,0.9,0.01705453210836091
BPIC15,AggregateType.AVG,0.9,0.0034666905583439424
BPIC15,AggregateType.AVG,0.9,0.005710714439340872
BPIC15,AggregateType.AVG,0.9,0.0033399717593181806
BPIC15,AggregateType.AVG,0.9,0.01619116644440412
BPIC15,AggregateType.AVG,0.9,0.007524645864886166
BPIC15,AggregateType.AVG,0.9,0.010072210085665369
BPIC15,AggregateType.AVG,0.9,0.01801514846242894
BPIC15,AggregateType.AVG,0.9,0.00933705668221387
BPIC15,AggregateType.AVG,0.9,0.023684716783927515
BPIC15,AggregateType.AVG,0.9,0.004584964074079013
BPIC15,AggregateType.AVG,0.9,0.01598881157678255
BPIC15,AggregateType.AVG,0.9,0.02507736746311717
BPIC15,AggregateType.AVG,0.9,0.011523939743273925
BPIC15,AggregateType.AVG,0.9,0.020967646771923486
BPIC15,AggregateType.AVG,0.9,0.015227560242012122
BPIC15,AggregateType.AVG,0.9,0.011220703970304727
BPIC15,AggregateType.AVG,0.9,0.01728495315746664
BPIC15,AggregateType.AVG,0.9,0.011220703970304727
BPIC15,AggregateType.AVG,0.9,0.21002961058833555
BPIC15,AggregateType.AVG,0.9,0.020967646771923486
BPIC15,AggregateType.AVG,0.9,0.25040305936191315
BPIC15,AggregateType.AVG,0.9,0.15855271844915592
BPIC15,AggregateType.AVG,0.9,0.005949762073611683
BPIC15,AggregateType.AVG,0.9,0.3093292205944329
BPIC15,AggregateType.AVG,0.9,0.3093292205944329
BPIC15,AggregateType.AVG,0.9,0.006033954790570044
BPIC15,AggregateType.AVG,0.9,0.5646318840142971
BPIC15,AggregateType.AVG,0.9,0.0036238196627688896
BPIC15,AggregateType.AVG,0.9,0.04124155980751819
BPIC15,AggregateType.AVG,0.9,0.11577075677355192
BPIC15,AggregateType.AVG,0.9,0.21002961058833555
BPIC15,AggregateType.AVG,0.9,0.06387361907098639
BPIC15,AggregateType.AVG,0.9,0.006593790727235012
BPIC15,AggregateType.AVG,0.9,0.013754121193775146
BPIC15,AggregateType.AVG,0.9,0.011027259378224966
BPIC15,AggregateType.AVG,0.9,0.010840371445882745
BPIC15,AggregateType.AVG,0.9,0.06722550398171259
BPIC15,AggregateType.AVG,0.9,0.3093292205944329
BPIC15,AggregateType.AVG,0.9,0.25040305936191315
BPIC15,AggregateType.AVG,0.9,0.21002961058833555
BPIC15,AggregateType.AVG,0.9,0.07094803839680001
BPIC15,AggregateType.AVG,0.9,0.015048439682672256
BPIC15,AggregateType.AVG,0.9,0.037606196482934624
BPIC15,AggregateType.AVG,0.9,0.04124155980751819
BPIC15,AggregateType.AVG,0.9,0.07978095329132047
BPIC15,AggregateType.AVG,0.9,0.0272105991716356
BPIC15,AggregateType.AVG,0.9,0.07978095329132047
BPIC15,AggregateType.AVG,0.9,0.10619919041699251
BPIC15,AggregateType.AVG,0.9,0.013903603347185593
BPIC15,AggregateType.AVG,0.9,0.014212531154014803
BPIC15,AggregateType.AVG,0.9,0.10619919041699251
BPIC15,AggregateType.AVG,0.9,0.25040305936191315
BPIC15,AggregateType.AVG,0.9,0.15855271844915592
BPIC15,AggregateType.AVG,0.9,0.15855271844915592
BPIC15,AggregateType.AVG,0.9,0.8562753417803016
BPIC15,AggregateType.AVG,0.9,0.8562753417803016
BPIC15,AggregateType.AVG,0.9,0.09111898365578823
BPIC15,AggregateType.AVG,0.9,0.09808469928965356
BPIC15,AggregateType.AVG,0.9,0.15855271844915592
BPIC15,AggregateType.AVG,0.9,0.0850747842894737
BPIC15,AggregateType.AVG,0.9,0.04408223802013299
BPIC15,AggregateType.AVG,0.9,0.09808469928965356
BPIC15,AggregateType.AVG,0.9,0.04261464037104793
BPIC15,AggregateType.AVG,0.9,0.8562753417803016
BPIC15,AggregateType.AVG,0.9,0.15855271844915592
BPIC15,AggregateType.AVG,0.9,0.11577075677355192
BPIC15,AggregateType.AVG,0.9,0.5646318840142971
BPIC15,AggregateType.AVG,0.9,0.12722816767446765
BPIC15,AggregateType.AVG,0.9,0.0850747842894737
BPIC15,AggregateType.AVG,0.9,0.09808469928965356
BPIC15,AggregateType.AVG,0.9,0.5646318840142971
BPIC15,AggregateType.AVG,0.9,0.07094803839680001
BPIC15,AggregateType.AVG,0.9,0.00566017822763951
BPIC15,AggregateType.AVG,0.9,0.4023122473795101
BPIC15,AggregateType.AVG,0.9,0.15855271844915592
BPIC15,AggregateType.AVG,0.9,0.03874465416777329
BPIC15,AggregateType.AVG,0.9,0.0850747842894737
BPIC15,AggregateType.AVG,0.9,0.14118540254140782
