dataset,aggregate_type,emd,delta
CCC19,AggregateType.AVG,0.1,0.8181818181818181
CCC19,AggregateType.AVG,0.1,0.7440137844466425
CCC19,AggregateType.AVG,0.1,0.5412652847729675
CCC19,AggregateType.AVG,0.1,0.6166353450989173
CCC19,AggregateType.AVG,0.1,0.6454899392731475
CCC19,AggregateType.AVG,0.1,0.4023122473795101
CCC19,AggregateType.AVG,0.1,0.4023122473795101
CCC19,AggregateType.AVG,0.1,0.4159666569454266
CCC19,AggregateType.AVG,0.1,0.43050550209839733
CCC19,AggregateType.AVG,0.1,0.43050550209839733
CCC19,AggregateType.AVG,0.1,0.6454899392731475
CCC19,AggregateType.AVG,0.1,0.49919587066863585
CCC19,AggregateType.AVG,0.1,0.5194938532959157
CCC19,AggregateType.AVG,0.1,0.5646318840142971
CCC19,AggregateType.AVG,0.1,0.6166353450989173
CCC19,AggregateType.AVG,0.1,0.5646318840142971
CCC19,AggregateType.AVG,0.1,0.7092184753592038
CCC19,AggregateType.AVG,0.1,0.7092184753592038
CCC19,AggregateType.AVG,0.1,0.9578200457656272
CCC19,AggregateType.AVG,0.1,0.6763478930139705
CCC19,AggregateType.AVG,0.1,0.6166353450989173
CCC19,AggregateType.AVG,0.1,0.5646318840142971
CCC19,AggregateType.AVG,0.1,0.9936953816334796
CCC19,AggregateType.AVG,0.1,0.999980000199998
CCC19,AggregateType.AVG,0.1,0.8562753417803016
CCC19,AggregateType.AVG,0.1,0.8935195695959551
CCC19,AggregateType.AVG,0.1,0.8935195695959551
CCC19,AggregateType.AVG,0.1,0.9578200457656272
CCC19,AggregateType.AVG,0.1,0.8562753417803016
CCC19,AggregateType.AVG,0.1,0.999980000199998
CCC19,AggregateType.AVG,0.1,0.8562753417803016
CCC19,AggregateType.AVG,0.1,0.999980000199998
CCC19,AggregateType.SUM,0.1,0.8181818181818181
CCC19,AggregateType.SUM,0.1,0.7440137844466425
CCC19,AggregateType.SUM,0.1,0.5412652847729675
CCC19,AggregateType.SUM,0.1,0.6166353450989173
CCC19,AggregateType.SUM,0.1,0.6454899392731475
CCC19,AggregateType.SUM,0.1,0.4023122473795101
CCC19,AggregateType.SUM,0.1,0.4023122473795101
CCC19,AggregateType.SUM,0.1,0.4159666569454266
CCC19,AggregateType.SUM,0.1,0.43050550209839733
CCC19,AggregateType.SUM,0.1,0.43050550209839733
CCC19,AggregateType.SUM,0.1,0.6454899392731475
CCC19,AggregateType.SUM,0.1,0.49919587066863585
CCC19,AggregateType.SUM,0.1,0.5194938532959157
CCC19,AggregateType.SUM,0.1,0.5646318840142971
CCC19,AggregateType.SUM,0.1,0.6166353450989173
CCC19,AggregateType.SUM,0.1,0.5646318840142971
CCC19,AggregateType.SUM,0.1,0.7092184753592038
CCC19,AggregateType.SUM,0.1,0.7092184753592038
CCC19,AggregateType.SUM,0.1,0.9578200457656272
CCC19,AggregateType.SUM,0.1,0.6763478930139705
CCC19,AggregateType.SUM,0.1,0.6166353450989173
CCC19,AggregateType.SUM,0.1,0.5646318840142971
CCC19,AggregateType.SUM,0.1,0.9936953816334796
CCC19,AggregateType.SUM,0.1,0.999980000199998
CCC19,AggregateType.SUM,0.1,0.8562753417803016
CCC19,AggregateType.SUM,0.1,0.8935195695959551
CCC19,AggregateType.SUM,0.1,0.8935195695959551
CCC19,AggregateType.SUM,0.1,0.9578200457656272
CCC19,AggregateType.SUM,0.1,0.8562753417803016
CCC19,AggregateType.SUM,0.1,0.999980000199998
CCC19,AggregateType.SUM,0.1,0.8562753417803016
CCC19,AggregateType.SUM,0.1,0.999980000199998
CCC19,AggregateType.MIN,0.1,0.8181818181818181
CCC19,AggregateType.MIN,0.1,0.7440137844466425
CCC19,AggregateType.MIN,0.1,0.5412652847729675
CCC19,AggregateType.MIN,0.1,0.6166353450989173
CCC19,AggregateType.MIN,0.1,0.6454899392731475
CCC19,AggregateType.MIN,0.1,0.4023122473795101
CCC19,AggregateType.MIN,0.1,0.4023122473795101
CCC19,AggregateType.MIN,0.1,0.4159666569454266
CCC19,AggregateType.MIN,0.1,0.43050550209839733
CCC19,AggregateType.MIN,0.1,0.43050550209839733
CCC19,AggregateType.MIN,0.1,0.6454899392731475
CCC19,AggregateType.MIN,0.1,0.49919587066863585
CCC19,AggregateType.MIN,0.1,0.5194938532959157
CCC19,AggregateType.MIN,0.1,0.5646318840142971
CCC19,AggregateType.MIN,0.1,0.6166353450989173
CCC19,AggregateType.MIN,0.1,0.5646318840142971
CCC19,AggregateType.MIN,0.1,0.7092184753592038
CCC19,AggregateType.MIN,0.1,0.7092184753592038
CCC19,AggregateType.MIN,0.1,0.9578200457656272
CCC19,AggregateType.MIN,0.1,0.6763478930139705
CCC19,AggregateType.MIN,0.1,0.6166353450989173
CCC19,AggregateType.MIN,0.1,0.5646318840142971
CCC19,AggregateType.MIN,0.1,0.9936953816334796
CCC19,AggregateType.MIN,0.1,0.999980000199998
CCC19,AggregateType.MIN,0.1,0.8562753417803016
CCC19,AggregateType.MIN,0.1,0.8935195695959551
CCC19,AggregateType.MIN,0.1,0.8935195695959551
CCC19,AggregateType.MIN,0.1,0.9578200457656272
CCC19,AggregateType.MIN,0.1,0.8562753417803016
CCC19,AggregateType.MIN,0.1,0.999980000199998
CCC19,AggregateType.MIN,0.1,0.8562753417803016
CCC19,AggregateType.MIN,0.1,0.999980000199998
CCC19,AggregateType.MAX,0.1,0.8181818181818181
CCC19,AggregateType.MAX,0.1,0.7440137844466425
CCC19,AggregateType.MAX,0.1,0.5412652847729675
CCC19,AggregateType.MAX,0.1,0.6166353450989173
CCC19,AggregateType.MAX,0.1,0.6454899392731475
CCC19,AggregateType.MAX,0.1,0.4023122473795101
CCC19,AggregateType.MAX,0.1,0.4023122473795101
CCC19,AggregateType.MAX,0.1,0.4159666569454266
CCC19,AggregateType.MAX,0.1,0.43050550209839733
CCC19,AggregateType.MAX,0.1,0.43050550209839733
CCC19,AggregateType.MAX,0.1,0.6454899392731475
CCC19,AggregateType.MAX,0.1,0.49919587066863585
CCC19,AggregateType.MAX,0.1,0.5194938532959157
CCC19,AggregateType.MAX,0.1,0.5646318840142971
CCC19,AggregateType.MAX,0.1,0.6166353450989173
CCC19,AggregateType.MAX,0.1,0.5646318840142971
CCC19,AggregateType.MAX,0.1,0.7092184753592038
CCC19,AggregateType.MAX,0.1,0.7092184753592038
CCC19,AggregateType.MAX,0.1,0.9578200457656272
CCC19,AggregateType.MAX,0.1,0.6763478930139705
CCC19,AggregateType.MAX,0.1,0.6166353450989173
CCC19,AggregateType.MAX,0.1,0.5646318840142971
CCC19,AggregateType.MAX,0.1,0.9936953816334796
CCC19,AggregateType.MAX,0.1,0.999980000199998
CCC19,AggregateType.MAX,0.1,0.8562753417803016
CCC19,AggregateType.MAX,0.1,0.8935195695959551
CCC19,AggregateType.MAX,0.1,0.8935195695959551
CCC19,AggregateType.MAX,0.1,0.9578200457656272
CCC19,AggregateType.MAX,0.1,0.8562753417803016
CCC19,AggregateType.MAX,0.1,0.999980000199998
CCC19,AggregateType.MAX,0.1,0.8562753417803016
CCC19,AggregateType.MAX,0.1,0.999980000199998
