dataset,aggregate_type,emd,delta
CreditReq,AggregateType.AVG,0.01,0.01147226742799839
CreditReq,AggregateType.AVG,0.01,0.01147226742799839
CreditReq,AggregateType.AVG,0.01,0.01147226742799839
CreditReq,AggregateType.AVG,0.01,0.01147226742799839
CreditReq,AggregateType.AVG,0.01,0.01147226742799839
CreditReq,AggregateType.AVG,0.01,0.01147226742799839
CreditReq,AggregateType.AVG,0.01,0.01147226742799839
CreditReq,AggregateType.AVG,0.01,0.01147226742799839
CreditReq,AggregateType.AVG,0.01,0.01147226742799839
CreditReq,AggregateType.AVG,0.01,0.01147226742799839
CreditReq,AggregateType.AVG,0.01,0.01147226742799839
CreditReq,AggregateType.AVG,0.01,0.01147226742799839
CreditReq,AggregateType.AVG,0.01,0.01147226742799839
CreditReq,AggregateType.AVG,0.01,0.01147226742799839
CreditReq,AggregateType.SUM,0.01,0.01147226742799839
CreditReq,AggregateType.SUM,0.01,0.01147226742799839
CreditReq,AggregateType.SUM,0.01,0.01147226742799839
CreditReq,AggregateType.SUM,0.01,0.01147226742799839
CreditReq,AggregateType.SUM,0.01,0.01147226742799839
CreditReq,AggregateType.SUM,0.01,0.01147226742799839
CreditReq,AggregateType.SUM,0.01,0.01147226742799839
CreditReq,AggregateType.SUM,0.01,0.01147226742799839
CreditReq,AggregateType.SUM,0.01,0.01147226742799839
CreditReq,AggregateType.SUM,0.01,0.01147226742799839
CreditReq,AggregateType.SUM,0.01,0.01147226742799839
CreditReq,AggregateType.SUM,0.01,0.01147226742799839
CreditReq,AggregateType.SUM,0.01,0.01147226742799839
CreditReq,AggregateType.SUM,0.01,0.01147226742799839
CreditReq,AggregateType.MIN,0.01,0.01147226742799839
CreditReq,AggregateType.MIN,0.01,0.01147226742799839
CreditReq,AggregateType.MIN,0.01,0.01147226742799839
CreditReq,AggregateType.MIN,0.01,0.01147226742799839
CreditReq,AggregateType.MIN,0.01,0.01147226742799839
CreditReq,AggregateType.MIN,0.01,0.01147226742799839
CreditReq,AggregateType.MIN,0.01,0.01147226742799839
CreditReq,AggregateType.MIN,0.01,0.01147226742799839
CreditReq,AggregateType.MIN,0.01,0.01147226742799839
CreditReq,AggregateType.MIN,0.01,0.01147226742799839
CreditReq,AggregateType.MIN,0.01,0.01147226742799839
CreditReq,AggregateType.MIN,0.01,0.01147226742799839
CreditReq,AggregateType.MIN,0.01,0.01147226742799839
CreditReq,AggregateType.MIN,0.01,0.01147226742799839
CreditReq,AggregateType.MAX,0.01,0.01147226742799839
CreditReq,AggregateType.MAX,0.01,0.01147226742799839
CreditReq,AggregateType.MAX,0.01,0.01147226742799839
CreditReq,AggregateType.MAX,0.01,0.01147226742799839
CreditReq,AggregateType.MAX,0.01,0.01147226742799839
CreditReq,AggregateType.MAX,0.01,0.01147226742799839
CreditReq,AggregateType.MAX,0.01,0.01147226742799839
CreditReq,AggregateType.MAX,0.01,0.01147226742799839
CreditReq,AggregateType.MAX,0.01,0.01147226742799839
CreditReq,AggregateType.MAX,0.01,0.01147226742799839
CreditReq,AggregateType.MAX,0.01,0.01147226742799839
CreditReq,AggregateType.MAX,0.01,0.01147226742799839
CreditReq,AggregateType.MAX,0.01,0.01147226742799839
CreditReq,AggregateType.MAX,0.01,0.01147226742799839
