dataset,aggregate_type,emd,delta
Hospital,AggregateType.AVG,0.05,0.02540937597579511
Hospital,AggregateType.AVG,0.05,0.999980000199998
Hospital,AggregateType.AVG,0.05,0.8181818181818181
Hospital,AggregateType.AVG,0.05,0.9936953816334796
Hospital,AggregateType.AVG,0.05,0.6308154438020652
Hospital,AggregateType.AVG,0.05,0.4802543249647553
Hospital,AggregateType.AVG,0.05,0.13948618764236326
Hospital,AggregateType.AVG,0.05,0.489562606503389
Hospital,AggregateType.AVG,0.05,0.0026864771364004296
Hospital,AggregateType.AVG,0.05,0.05078596268610701
Hospital,AggregateType.AVG,0.05,0.017181779778922844
Hospital,AggregateType.AVG,0.05,0.00787730915339123
Hospital,AggregateType.AVG,0.05,0.01052330938922193
Hospital,AggregateType.AVG,0.05,0.006176383619214589
Hospital,AggregateType.AVG,0.05,0.0853895106973426
Hospital,AggregateType.AVG,0.05,0.008962722599515315
Hospital,AggregateType.AVG,0.05,0.03326207623194338
Hospital,AggregateType.AVG,0.05,0.1607474518592749
Hospital,AggregateType.AVG,0.05,0.007626831554429001
Hospital,AggregateType.AVG,0.05,0.2009943903153605
Hospital,AggregateType.AVG,0.05,0.5412652847729675
Hospital,AggregateType.AVG,0.05,0.0318809524840471
Hospital,AggregateType.AVG,0.05,0.0736671087229037
Hospital,AggregateType.AVG,0.05,0.12449132098301581
Hospital,AggregateType.AVG,0.05,0.12449132098301581
Hospital,AggregateType.AVG,0.05,0.08089975348910054
Hospital,AggregateType.AVG,0.05,0.21387157874343848
Hospital,AggregateType.AVG,0.05,0.07711455056983606
Hospital,AggregateType.AVG,0.05,0.030208458185502718
Hospital,AggregateType.AVG,0.05,0.013903603347185593
Hospital,AggregateType.AVG,0.05,0.00929934861564602
Hospital,AggregateType.AVG,0.05,0.017723971994297698
Hospital,AggregateType.AVG,0.05,0.016044512176915156
Hospital,AggregateType.AVG,0.05,0.0220307418384987
Hospital,AggregateType.AVG,0.05,0.08414434015983066
Hospital,AggregateType.AVG,0.05,0.02464795211361707
Hospital,AggregateType.AVG,0.05,0.9990721129203082
Hospital,AggregateType.AVG,0.05,0.9999995691131548
Hospital,AggregateType.AVG,0.05,0.07950606147355396
Hospital,AggregateType.AVG,0.05,0.011342297284934705
Hospital,AggregateType.AVG,0.05,0.005346095092416572
Hospital,AggregateType.AVG,0.05,0.8562753417803016
Hospital,AggregateType.AVG,0.05,0.6763478930139705
Hospital,AggregateType.AVG,0.05,0.04222414737402984
Hospital,AggregateType.AVG,0.05,0.17269022739890405
Hospital,AggregateType.AVG,0.05,0.37737692024047553
Hospital,AggregateType.AVG,0.05,0.42312077805858395
Hospital,AggregateType.AVG,0.05,0.10381399395697768
Hospital,AggregateType.AVG,0.05,0.1484141854523198
Hospital,AggregateType.AVG,0.05,0.19759134415688132
Hospital,AggregateType.AVG,0.05,0.7263862227935801
Hospital,AggregateType.AVG,0.05,0.8935195695959551
Hospital,AggregateType.AVG,0.05,0.018995941476546915
Hospital,AggregateType.AVG,0.05,0.04520659505870638
Hospital,AggregateType.AVG,0.05,0.038230280249887734
Hospital,AggregateType.AVG,0.05,0.05989138924130231
Hospital,AggregateType.AVG,0.05,0.9999999998
Hospital,AggregateType.AVG,0.05,0.999980000199998
Hospital,AggregateType.AVG,0.05,0.03089734481278256
Hospital,AggregateType.AVG,0.05,0.9999999998
Hospital,AggregateType.AVG,0.05,0.9801980198019802
Hospital,AggregateType.AVG,0.05,1.0
Hospital,AggregateType.AVG,0.05,0.015018995114422794
