dataset,aggregate_type,emd,delta
Sepsis,AggregateType.AVG,0.3,0.18073736476303873
Sepsis,AggregateType.AVG,0.3,0.0021584003724327058
Sepsis,AggregateType.AVG,0.3,0.006101103663605033
Sepsis,AggregateType.AVG,0.3,0.2674517905278696
Sepsis,AggregateType.AVG,0.3,0.004240462783789463
Sepsis,AggregateType.AVG,0.3,0.013464596122477766
Sepsis,AggregateType.AVG,0.3,0.007659813903161464
Sepsis,AggregateType.AVG,0.3,0.007847777171038796
Sepsis,AggregateType.AVG,0.3,0.01039973838711993
Sepsis,AggregateType.AVG,0.3,0.002655801244972563
Sepsis,AggregateType.AVG,0.3,0.008378934521366486
Sepsis,AggregateType.AVG,0.3,0.012105534237397563
Sepsis,AggregateType.AVG,0.3,0.01705453210836091
Sepsis,AggregateType.AVG,0.3,0.003952236704457178
Sepsis,AggregateType.AVG,0.3,0.07978095329132047
Sepsis,AggregateType.AVG,0.3,0.006792181957544813
Sepsis,AggregateType.AVG,0.3,0.10619919041699251
Sepsis,AggregateType.AVG,0.3,0.01191757804262423
Sepsis,AggregateType.AVG,0.3,0.014265358687379453
Sepsis,AggregateType.AVG,0.3,0.034559580962557415
Sepsis,AggregateType.AVG,0.3,0.02192586725036208
Sepsis,AggregateType.AVG,0.3,0.009405707476326004
Sepsis,AggregateType.AVG,0.3,0.01998505648960672
Sepsis,AggregateType.AVG,0.3,0.037606196482934624
Sepsis,AggregateType.AVG,0.3,0.013903603347185593
Sepsis,AggregateType.AVG,0.3,0.08323398106207383
Sepsis,AggregateType.AVG,0.3,0.008821936236255918
Sepsis,AggregateType.AVG,0.3,0.043092866854558466
Sepsis,AggregateType.AVG,0.3,0.06181852058169482
Sepsis,AggregateType.AVG,0.3,0.0736671087229037
Sepsis,AggregateType.AVG,0.3,0.03278859960806811
Sepsis,AggregateType.AVG,0.3,0.13620681781892996
Sepsis,AggregateType.AVG,0.3,0.009498827718594064
Sepsis,AggregateType.AVG,0.3,0.02507736746311717
Sepsis,AggregateType.AVG,0.3,0.21002961058833566
Sepsis,AggregateType.AVG,0.3,0.7440137844466425
Sepsis,AggregateType.AVG,0.3,0.020519268237760024
Sepsis,AggregateType.AVG,0.3,0.22198557644073288
Sepsis,AggregateType.AVG,0.3,0.05045241366313861
Sepsis,AggregateType.AVG,0.3,0.07228205624082962
Sepsis,AggregateType.AVG,0.3,0.037606196482934624
Sepsis,AggregateType.AVG,0.3,0.03093884701357628
Sepsis,AggregateType.AVG,0.3,0.025924202388814307
Sepsis,AggregateType.AVG,0.3,0.05252206061480792
Sepsis,AggregateType.AVG,0.3,0.17269022739890405
Sepsis,AggregateType.AVG,0.3,0.07978095329132047
Sepsis,AggregateType.AVG,0.3,0.1895613122832447
Sepsis,AggregateType.AVG,0.3,0.09332862371410096
Sepsis,AggregateType.AVG,0.3,0.19927854239033171
Sepsis,AggregateType.AVG,0.3,0.06966229007201281
Sepsis,AggregateType.AVG,0.3,0.0473428758332065
Sepsis,AggregateType.AVG,0.3,0.08323398106207383
Sepsis,AggregateType.AVG,0.3,0.04620372794276717
Sepsis,AggregateType.AVG,0.3,0.10619919041699251
Sepsis,AggregateType.AVG,0.3,0.0736671087229037
Sepsis,AggregateType.AVG,0.3,0.09111898365578823
Sepsis,AggregateType.AVG,0.3,0.22198557644073288
