dataset,aggregate_type,emd,delta
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.9411764705882353
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.891304347826087
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.49999999999959566
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.8421052631578947
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.631578947368421
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.7777777777777779
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.33333333014740896
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.7000000000000001
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.8
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.49999999807053164
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.49999999999956346
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.49999999999150657
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.4999999999990059
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.49999999998381695
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.8
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.9411673698459334
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.8913000356235752
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.49668926789576096
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.8418461936881021
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.6309118491930963
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.7773954068503142
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.321986696839323
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.6996786974611771
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.7998276423737616
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.4822455346086827
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.4966383571110815
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.4939302201265118
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.49603930877307245
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.4931007021628526
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.7999956875979163
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.1,0.929253318077783
Sepsis Cases - Event Log,AggregateType.AVG,0.1,0.8853930535991503
Sepsis Cases - Event Log,AggregateType.AVG,0.1,0.44550626920650094
Sepsis Cases - Event Log,AggregateType.AVG,0.1,0.8062616940403387
Sepsis Cases - Event Log,AggregateType.AVG,0.1,0.5988574680068031
Sepsis Cases - Event Log,AggregateType.AVG,0.1,0.742479575391305
Sepsis Cases - Event Log,AggregateType.AVG,0.1,0.2629152476499401
Sepsis Cases - Event Log,AggregateType.AVG,0.1,0.6733447988060577
Sepsis Cases - Event Log,AggregateType.AVG,0.1,0.7744126338293194
Sepsis Cases - Event Log,AggregateType.AVG,0.1,0.38148851826401675
