dataset,aggregate_type,emd,delta
BPIC15,AggregateType.AVG,0.2,0.02117326811619613
BPIC15,AggregateType.AVG,0.2,0.08398721966878148
BPIC15,AggregateType.AVG,0.2,0.06017496595668932
BPIC15,AggregateType.AVG,0.2,0.01599531032445578
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.021288233724352512
BPIC15,AggregateType.AVG,0.2,0.026993671403834324
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0179986084439194
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.04119100833857042
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.011930246904912067
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.02247366963908888
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.007464477578720152
BPIC15,AggregateType.AVG,0.2,0.010250272987293377
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.01524848930998468
BPIC15,AggregateType.AVG,0.2,0.031214232028887845
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.009043307722797017
BPIC15,AggregateType.AVG,0.2,0.02802250841018658
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.011039465378417435
BPIC15,AggregateType.AVG,0.2,0.01524848930998468
BPIC15,AggregateType.AVG,0.2,0.01592085997742254
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.01776571327300644
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.023569614710564846
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.02699304420121798
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.010972146371456382
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.020638019027039045
BPIC15,AggregateType.AVG,0.2,0.020638019027039045
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.01524848930998468
BPIC15,AggregateType.AVG,0.2,0.01468406147842416
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.020638019027039045
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.00871526898017122
BPIC15,AggregateType.AVG,0.2,0.03119050298832804
BPIC15,AggregateType.AVG,0.2,0.0263389338930812
BPIC15,AggregateType.AVG,0.2,0.017770378955051444
BPIC15,AggregateType.AVG,0.2,0.022697627527310943
BPIC15,AggregateType.AVG,0.2,0.029375054535935904
BPIC15,AggregateType.AVG,0.2,0.0357849484791789
BPIC15,AggregateType.AVG,0.2,0.041997430948687964
BPIC15,AggregateType.AVG,0.2,0.013863009061409137
BPIC15,AggregateType.AVG,0.2,0.028191372508829332
BPIC15,AggregateType.AVG,0.2,0.018697389468233683
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.007548806508934636
BPIC15,AggregateType.AVG,0.2,0.015710265033117787
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.011237321632512898
BPIC15,AggregateType.AVG,0.2,0.023663230459848084
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.01413336406835386
BPIC15,AggregateType.AVG,0.2,0.0
BPIC15,AggregateType.AVG,0.2,0.0
