dataset,aggregate_type,emd,delta
CCC19,AggregateType.AVG,0.1,0.0
CCC19,AggregateType.AVG,0.1,0.6163620034455666
CCC19,AggregateType.AVG,0.1,0.9374670839148819
CCC19,AggregateType.AVG,0.1,0.5506029638450348
CCC19,AggregateType.AVG,0.1,0.0
CCC19,AggregateType.AVG,0.1,0.32784491546456196
CCC19,AggregateType.AVG,0.1,0.0
CCC19,AggregateType.AVG,0.1,0.962962962373872
CCC19,AggregateType.AVG,0.1,0.9258664297932999
CCC19,AggregateType.AVG,0.1,0.9229869997199921
CCC19,AggregateType.AVG,0.1,0.49601556767964955
CCC19,AggregateType.AVG,0.1,0.5150421983114306
CCC19,AggregateType.AVG,0.1,0.9499607192446874
CCC19,AggregateType.AVG,0.1,0.3594621898143977
CCC19,AggregateType.AVG,0.1,0.9374926198730491
CCC19,AggregateType.AVG,0.1,0.36675711548650913
CCC19,AggregateType.AVG,0.1,0.8466821451925582
CCC19,AggregateType.AVG,0.1,0.8122372901739214
CCC19,AggregateType.AVG,0.1,0.32784491546456196
CCC19,AggregateType.AVG,0.1,0.676394358667551
CCC19,AggregateType.AVG,0.1,0.360036760179137
CCC19,AggregateType.AVG,0.1,0.0
CCC19,AggregateType.AVG,0.1,0.0
CCC19,AggregateType.AVG,0.1,0.7590147390987385
CCC19,AggregateType.AVG,0.1,0.3859457832040264
CCC19,AggregateType.AVG,0.1,0.0
CCC19,AggregateType.AVG,0.1,0.0
CCC19,AggregateType.AVG,0.1,0.0
CCC19,AggregateType.AVG,0.1,0.5506029638450348
CCC19,AggregateType.AVG,0.1,0.0
CCC19,AggregateType.AVG,0.1,0.0
CCC19,AggregateType.AVG,0.1,0.0
CCC19,AggregateType.AVG,0.1,0.0
CCC19,AggregateType.SUM,0.1,0.0
CCC19,AggregateType.SUM,0.1,0.6665745743609744
CCC19,AggregateType.SUM,0.1,0.9374999999680047
CCC19,AggregateType.SUM,0.1,0.6616915422885572
CCC19,AggregateType.SUM,0.1,0.0
CCC19,AggregateType.SUM,0.1,0.665549881281935
CCC19,AggregateType.SUM,0.1,0.0
CCC19,AggregateType.SUM,0.1,0.962962962960424
CCC19,AggregateType.SUM,0.1,0.9259220196911847
CCC19,AggregateType.SUM,0.1,0.9230731730909856
CCC19,AggregateType.SUM,0.1,0.5686283378853725
CCC19,AggregateType.SUM,0.1,0.580095355370142
CCC19,AggregateType.SUM,0.1,0.9499999920706969
CCC19,AggregateType.SUM,0.1,0.49673202614379086
CCC19,AggregateType.SUM,0.1,0.9374999999985352
CCC19,AggregateType.SUM,0.1,0.649057765607352
CCC19,AggregateType.SUM,0.1,0.8571428571422336
CCC19,AggregateType.SUM,0.1,0.833103134368433
CCC19,AggregateType.SUM,0.1,0.665549881281935
CCC19,AggregateType.SUM,0.1,0.7499999999997071
CCC19,AggregateType.SUM,0.1,0.4999999999999023
CCC19,AggregateType.SUM,0.1,0.0
CCC19,AggregateType.SUM,0.1,0.0
CCC19,AggregateType.SUM,0.1,0.7999999999996094
CCC19,AggregateType.SUM,0.1,0.6666666354166678
CCC19,AggregateType.SUM,0.1,0.0
CCC19,AggregateType.SUM,0.1,0.0
CCC19,AggregateType.SUM,0.1,0.0
CCC19,AggregateType.SUM,0.1,0.6666666666664715
CCC19,AggregateType.SUM,0.1,0.0
CCC19,AggregateType.SUM,0.1,0.0
CCC19,AggregateType.SUM,0.1,0.0
CCC19,AggregateType.SUM,0.1,0.0
CCC19,AggregateType.MIN,0.1,0.0
CCC19,AggregateType.MIN,0.1,0.6666666666666666
CCC19,AggregateType.MIN,0.1,0.9375
CCC19,AggregateType.MIN,0.1,0.6666666666666666
CCC19,AggregateType.MIN,0.1,0.0
CCC19,AggregateType.MIN,0.1,0.6666666666666666
CCC19,AggregateType.MIN,0.1,0.0
CCC19,AggregateType.MIN,0.1,0.962962962962963
CCC19,AggregateType.MIN,0.1,0.925925925925926
