dataset,aggregate_type,emd,delta
CreditReq,AggregateType.AVG,0.5,0.993622321873443
CreditReq,AggregateType.AVG,0.5,0.970104154802884
CreditReq,AggregateType.AVG,0.5,0.9769805637177795
CreditReq,AggregateType.AVG,0.5,0.9696058252606868
CreditReq,AggregateType.AVG,0.5,0.984155455904034
CreditReq,AggregateType.AVG,0.5,0.982561036372218
CreditReq,AggregateType.AVG,0.5,0.9959142999501744
CreditReq,AggregateType.SUM,0.5,0.0019599293132988374
CreditReq,AggregateType.SUM,0.5,0.0017133743365080611
CreditReq,AggregateType.SUM,0.5,0.0017551666145058653
CreditReq,AggregateType.SUM,0.5,0.0017065401786364176
CreditReq,AggregateType.SUM,0.5,0.0018283887123961284
CreditReq,AggregateType.SUM,0.5,0.0017310580124108715
CreditReq,AggregateType.SUM,0.5,0.0018553733506339529
CreditReq,AggregateType.MIN,0.5,0.993622321873443
CreditReq,AggregateType.MIN,0.5,0.9701046337817638
CreditReq,AggregateType.MIN,0.5,0.9769805680119582
CreditReq,AggregateType.MIN,0.5,0.9696063776781266
CreditReq,AggregateType.MIN,0.5,0.9841554559043348
CreditReq,AggregateType.MIN,0.5,0.9825610363726955
CreditReq,AggregateType.MIN,0.5,0.9959142999501744
CreditReq,AggregateType.MAX,0.5,0.8942071468497619
CreditReq,AggregateType.MAX,0.5,0.895067057183313
CreditReq,AggregateType.MAX,0.5,0.8810547725440703
CreditReq,AggregateType.MAX,0.5,0.8957431726375131
CreditReq,AggregateType.MAX,0.5,0.8879830720024471
CreditReq,AggregateType.MAX,0.5,0.8903115702944034
CreditReq,AggregateType.MAX,0.5,0.8626542537220052
