dataset,aggregate_type,emd,delta
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.005546946469115854
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0018223833913418863
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
Hospital,AggregateType.AVG,0.5,0.0
