dataset,aggregate_type,emd,delta
Sepsis,AggregateType.AVG,0.6,0.0231757677168814
Sepsis,AggregateType.AVG,0.6,0.3623149591225134
Sepsis,AggregateType.AVG,0.6,0.10576503029598813
Sepsis,AggregateType.AVG,0.6,0.02424291044592991
Sepsis,AggregateType.AVG,0.6,0.9618470505689156
Sepsis,AggregateType.AVG,0.6,0.16716975014701074
Sepsis,AggregateType.AVG,0.6,0.2109464545335421
Sepsis,AggregateType.AVG,0.6,0.009038542331492039
Sepsis,AggregateType.AVG,0.6,0.05999146802387467
Sepsis,AggregateType.AVG,0.6,0.13802530006960378
Sepsis,AggregateType.AVG,0.6,0.04125877094101077
Sepsis,AggregateType.AVG,0.6,0.050643639182682554
Sepsis,AggregateType.AVG,0.6,0.07066660465119645
Sepsis,AggregateType.AVG,0.6,0.08843756253482793
Sepsis,AggregateType.AVG,0.6,0.05967489087323541
Sepsis,AggregateType.AVG,0.6,0.2175361957569732
Sepsis,AggregateType.AVG,0.6,0.05391544224207101
Sepsis,AggregateType.AVG,0.6,0.08342974090420796
Sepsis,AggregateType.AVG,0.6,0.09103988787250439
Sepsis,AggregateType.AVG,0.6,0.009837863049355758
Sepsis,AggregateType.AVG,0.6,0.07911313593306968
Sepsis,AggregateType.AVG,0.6,0.05465004875900037
Sepsis,AggregateType.AVG,0.6,0.04920807651397652
Sepsis,AggregateType.AVG,0.6,0.059047002675874705
Sepsis,AggregateType.AVG,0.6,0.05489192075504523
Sepsis,AggregateType.AVG,0.6,0.12100005311074363
Sepsis,AggregateType.AVG,0.6,0.08535381095705039
Sepsis,AggregateType.AVG,0.6,0.04793323899621038
Sepsis,AggregateType.AVG,0.6,0.04764179350627
Sepsis,AggregateType.AVG,0.6,0.035319745161532246
Sepsis,AggregateType.AVG,0.6,0.03957961156473955
Sepsis,AggregateType.AVG,0.6,0.07936224828373756
Sepsis,AggregateType.AVG,0.6,0.14776012466755556
Sepsis,AggregateType.AVG,0.6,0.13572494986530226
Sepsis,AggregateType.AVG,0.6,0.014876452101307905
Sepsis,AggregateType.AVG,0.6,0.021698801539418278
Sepsis,AggregateType.AVG,0.6,0.05639803609224321
Sepsis,AggregateType.AVG,0.6,0.03871840077181177
Sepsis,AggregateType.AVG,0.6,0.09787419017334181
Sepsis,AggregateType.AVG,0.6,0.05272165675083243
Sepsis,AggregateType.AVG,0.6,0.03649060228847356
Sepsis,AggregateType.AVG,0.6,0.0579333317375903
Sepsis,AggregateType.AVG,0.6,0.030432379773509655
Sepsis,AggregateType.AVG,0.6,0.030132803466105473
Sepsis,AggregateType.AVG,0.6,0.015163184137419239
Sepsis,AggregateType.AVG,0.6,0.04244417608401925
Sepsis,AggregateType.AVG,0.6,0.033767463092063243
Sepsis,AggregateType.AVG,0.6,0.0391759164729894
Sepsis,AggregateType.AVG,0.6,0.03775894543152014
Sepsis,AggregateType.AVG,0.6,0.031184045651880404
Sepsis,AggregateType.AVG,0.6,0.032308696024463956
Sepsis,AggregateType.AVG,0.6,0.07262957900259592
Sepsis,AggregateType.AVG,0.6,0.021285623523939368
Sepsis,AggregateType.AVG,0.6,0.02714660531823443
Sepsis,AggregateType.AVG,0.6,0.06793691244619143
Sepsis,AggregateType.AVG,0.6,0.05832762516267376
Sepsis,AggregateType.AVG,0.6,0.02700924452584054
Sepsis,AggregateType.AVG,0.6,0.01386720831011233
Sepsis,AggregateType.AVG,0.6,0.029656324463816497
Sepsis,AggregateType.AVG,0.6,0.046982393571714964
Sepsis,AggregateType.AVG,0.6,0.02801269081192581
Sepsis,AggregateType.AVG,0.6,0.023287128083744335
Sepsis,AggregateType.AVG,0.6,0.022516981676394432
Sepsis,AggregateType.AVG,0.6,0.030599170601065317
Sepsis,AggregateType.AVG,0.6,0.03448351498647978
Sepsis,AggregateType.AVG,0.6,0.012638791427508345
Sepsis,AggregateType.AVG,0.6,0.02541961711975252
Sepsis,AggregateType.AVG,0.6,0.017770760985949152
Sepsis,AggregateType.AVG,0.6,0.02363165662338068
Sepsis,AggregateType.AVG,0.6,0.029154045359134628
Sepsis,AggregateType.AVG,0.6,0.02559944111388726
Sepsis,AggregateType.AVG,0.6,0.02378131095518371
Sepsis,AggregateType.AVG,0.6,0.04346676754881801
Sepsis,AggregateType.AVG,0.6,0.030874755283108124
Sepsis,AggregateType.AVG,0.6,0.033860000961522085
Sepsis,AggregateType.AVG,0.6,0.023289120822899467
Sepsis,AggregateType.AVG,0.6,0.05134429784701766
