dataset,aggregate_type,delta,edge,APE
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'Leucocytes')",0.09907124060094591
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'CRP')",0.0010557590515661757
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'LacticAcid')",0.0011572724753114885
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'ER Triage')",0.03074358458108836
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'ER Sepsis Triage')",0.0008831518246166495
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'IV Liquid')",0.010717577926362664
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'IV Antibiotics')",6.698847008061773e-05
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'Admission NC')",0.010224317429059973
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'CRP')",0.011644377264965726
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Leucocytes')",0.000725114921995832
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Leucocytes')",0.011181967848127854
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'CRP')",0.0005793646796928011
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Release A')",0.03846118995589968
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'ER Triage')",0.00035933415957008804
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'CRP')",0.06278533165992888
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'Leucocytes')",0.017736465115802205
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'ER Sepsis Triage')",0.07840258960144553
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Release A')",0.009843058343725855
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'Leucocytes')",0.0006115748950540341
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'IV Liquid')",0.05089141537729283
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Admission NC')",0.010100899968459446
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Leucocytes')",7.226105846272317e-05
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'CRP')",0.011485172250101853
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'IV Liquid')",0.057984945240040484
Sepsis,AggregateType.FREQ,0.1,"('Release A', 'Return ER')",0.0026337867349616813
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'CRP')",0.044824775202816684
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'LacticAcid')",0.008891807168699556
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'IV Antibiotics')",0.0007990582387525288
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'IV Liquid')",0.07972106447401496
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'Admission NC')",0.1367746565400639
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Release A')",0.009003145702199686
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'LacticAcid')",0.007513466251587252
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'CRP')",0.0039375346489694575
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Admission NC')",0.0020876947078991136
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Admission IC')",0.2770996687419019
