dataset,aggregate_type,delta,edge,APE_freq
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('Leucocytes', 'CRP')",0.0068846195029081785
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('ER Triage', 'ER Sepsis Triage')",0.049083385069932706
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('ER Sepsis Triage', 'IV Liquid')",0.07484054635186196
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('IV Liquid', 'IV Antibiotics')",0.017584892180301057
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('IV Antibiotics', 'Admission NC')",0.008734168548239853
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('ER Registration', 'ER Triage')",0.00631403787312394
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('LacticAcid', 'Leucocytes')",0.01291026073210914
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('CRP', 'Release A')",0.029104207259693288
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('Admission NC', 'Leucocytes')",0.040244426237432754
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('Release A', 'Return ER')",0.05704968089865861
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('Admission IC', 'LacticAcid')",0.2315037900536586
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('CRP', 'Release B')",4.482827417553587
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('IV Antibiotics', 'Admission IC')",0.1291152432539307
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('CRP', 'Release C')",1.472203821958834
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('CRP', 'Release D')",3.4093836011163794
Sepsis Cases - Event Log,AggregateType.AVG,0.01,"('CRP', 'Release E')",5.55137468850658
Sepsis Cases - Event Log,AggregateType.AVG,0.05,"('Leucocytes', 'CRP')",0.0006276092147885652
Sepsis Cases - Event Log,AggregateType.AVG,0.05,"('ER Triage', 'ER Sepsis Triage')",0.003910388542260346
Sepsis Cases - Event Log,AggregateType.AVG,0.05,"('ER Sepsis Triage', 'IV Liquid')",0.0399587808572629
Sepsis Cases - Event Log,AggregateType.AVG,0.05,"('IV Liquid', 'IV Antibiotics')",0.021292535184340614
Sepsis Cases - Event Log,AggregateType.AVG,0.05,"('IV Antibiotics', 'Admission NC')",0.021829469987643138
Sepsis Cases - Event Log,AggregateType.AVG,0.05,"('ER Registration', 'ER Triage')",0.0012287292829150042
Sepsis Cases - Event Log,AggregateType.AVG,0.05,"('LacticAcid', 'Leucocytes')",0.0019367614230111586
Sepsis Cases - Event Log,AggregateType.AVG,0.05,"('CRP', 'Release A')",0.015425718394716934
Sepsis Cases - Event Log,AggregateType.AVG,0.05,"('Admission NC', 'Leucocytes')",0.022609661638630086
Sepsis Cases - Event Log,AggregateType.AVG,0.05,"('Release A', 'Return ER')",0.009749537563260982
Sepsis Cases - Event Log,AggregateType.AVG,0.05,"('Admission IC', 'LacticAcid')",0.3519560732406734
Sepsis Cases - Event Log,AggregateType.AVG,0.05,"('CRP', 'Release B')",0.163149366001346
Sepsis Cases - Event Log,AggregateType.AVG,0.05,"('IV Antibiotics', 'Admission IC')",0.026733436718475685
