dataset,aggregate_type,delta,edge,APE_freq
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_010', '01_HOOFD_011')",0.00023541214683180645
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_011', '01_HOOFD_020')",5.114100845516685e-05
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_020', '02_DRZ_010')",0.0012850218648559361
BPIC15,AggregateType.AVG,0.3,"('02_DRZ_010', '04_BPT_005')",0.001302275468901201
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_110_0', '01_HOOFD_100_0')",0.00019417109546924295
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_100_0', '01_HOOFD_015')",0.007766342101384112
BPIC15,AggregateType.AVG,0.3,"('11_AH_II_010', '13_CRD_010')",0.0004609662409356143
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_490_2', '01_HOOFD_491')",1.555456765649816e-05
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_500', '01_HOOFD_510_0')",0.0020067181306232347
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_510_4', '01_HOOFD_515')",0.007458147111505459
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_005', '08_AWB45_010')",0.015333515299710478
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_010', '08_AWB45_020_0')",0.006111127228079369
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_020_1', '08_AWB45_025')",0.0028206578911856082
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_030', '08_AWB45_040')",0.009019153735046515
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_040', '08_AWB45_045')",0.0007979071405405802
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_196', '01_HOOFD_200')",0.015309175798749923
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_193', '08_AWB45_005')",0.0219173223329145
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_025', '08_AWB45_020_1')",0.015053273273697196
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_020_1', '08_AWB45_020_2')",0.0013855900506379649
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_040', '08_AWB45_051_0')",0.0188835292887605
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_510_1', '01_HOOFD_510_3')",0.0023386561200072925
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_510_3', '01_HOOFD_515')",0.005985603683683269
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_490_5a', '01_HOOFD_490_5')",0.009494693543742477
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_490_5', '01_HOOFD_510_2')",0.012750013171505509
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_510_3', '01_HOOFD_532')",0.1836359071906483
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_510_2a', '01_HOOFD_490_5a')",0.00363747400224458
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_532', '01_HOOFD_510_3')",0.012533417996275099
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_490_3a', '01_HOOFD_510_2a')",0.6626258315846076
