dataset,aggregate_type,delta,edge,APE_freq
Hospital,AggregateType.AVG,0.01,"('1e consult poliklinisch', 'administratief tarief       - eerste pol')",0.03073939723231455
Hospital,AggregateType.AVG,0.01,"('administratief tarief       - eerste pol', 'verlosk.-gynaec. korte kaart kosten-out')",13.991957873858833
Hospital,AggregateType.AVG,0.01,"('verlosk.-gynaec. korte kaart kosten-out', 'echografie  - genitalia interna')",0.8115635910883071
Hospital,AggregateType.AVG,0.01,"('echografie  - genitalia interna', '1e consult poliklinisch')",3.327660276752802
Hospital,AggregateType.AVG,0.01,"('administratief tarief       - eerste pol', 'simulator - gebruik voor aanvang megavol')",0.49911776930068597
Hospital,AggregateType.AVG,0.01,"('simulator - gebruik voor aanvang megavol', 'behandeltijd - eenheid t3 - megavolt')",1.1427475487289898
Hospital,AggregateType.AVG,0.01,"('behandeltijd - eenheid t3 - megavolt', 'teletherapie - megavolt fotonen bestrali')",0.1896793142769495
Hospital,AggregateType.AVG,0.01,"('teletherapie - megavolt fotonen bestrali', 'aanname laboratoriumonderzoek')",0.22730256547197528
Hospital,AggregateType.AVG,0.01,"('aanname laboratoriumonderzoek', 'aanname laboratoriumonderzoek')",0.0017594867337332588
Hospital,AggregateType.AVG,0.01,"('aanname laboratoriumonderzoek', 'ureum')",0.07533841478650041
Hospital,AggregateType.AVG,0.01,"('ureum', 'hemoglobine foto-elektrisch')",0.042437999246361255
Hospital,AggregateType.AVG,0.01,"('hemoglobine foto-elektrisch', 'creatinine')",0.0022015102907827844
Hospital,AggregateType.AVG,0.01,"('creatinine', 'natrium vlamfotometrisch')",0.0010274980637372528
Hospital,AggregateType.AVG,0.01,"('natrium vlamfotometrisch', 'kalium potentiometrisch')",0.01974867219350568
Hospital,AggregateType.AVG,0.01,"('kalium potentiometrisch', 'leukocyten tellen elektronisch')",0.0714835204671834
Hospital,AggregateType.AVG,0.01,"('leukocyten tellen elektronisch', 'trombocyten tellen - elektronisch')",0.017325680484772035
Hospital,AggregateType.AVG,0.01,"('trombocyten tellen - elektronisch', 'ordertarief')",0.006592315878548157
Hospital,AggregateType.AVG,0.01,"('ordertarief', 'ligdagen - alle spec.beh.kinderg.-reval.')",0.06406885066925438
Hospital,AggregateType.AVG,0.01,"('ligdagen - alle spec.beh.kinderg.-reval.', 'aanname laboratoriumonderzoek')",0.011191046167803783
Hospital,AggregateType.AVG,0.01,"('aanname laboratoriumonderzoek', 'sediment - spoed')",0.13067270519119759
Hospital,AggregateType.AVG,0.01,"('sediment - spoed', 'bacteriologisch onderzoek met kweek -nie')",0.13730710137557361
Hospital,AggregateType.AVG,0.01,"('bacteriologisch onderzoek met kweek -nie', 'bacteriologisch onderzoek met kweek -nie')",7.339208222014565e-05
Hospital,AggregateType.AVG,0.01,"('bacteriologisch onderzoek met kweek -nie', 'resistentiebepalingen - 5 bepalingen')",0.00020916330577063326
Hospital,AggregateType.AVG,0.01,"('resistentiebepalingen - 5 bepalingen', 'resistentiebepalingen - 5 bepalingen')",0.43448926969648793
Hospital,AggregateType.AVG,0.01,"('resistentiebepalingen - 5 bepalingen', 'hepatitis-b surface antigeen confirmatie')",0.024931872781120128
Hospital,AggregateType.AVG,0.01,"('hepatitis-b surface antigeen confirmatie', 'hepatitis-b surface antigeen confirmatie')",0.08032912023917209
Hospital,AggregateType.AVG,0.01,"('hepatitis-b surface antigeen confirmatie', 'urine onderzoek - kwalitatief')",0.2917398156187639
Hospital,AggregateType.AVG,0.01,"('urine onderzoek - kwalitatief', 'ordertarief')",0.08178621953610545
Hospital,AggregateType.AVG,0.01,"('ordertarief', '190021 klinische opname a002')",0.05038564421262235
Hospital,AggregateType.AVG,0.01,"('190021 klinische opname a002', '190205 klasse 3b        a205')",0.012543555786979846
Hospital,AggregateType.AVG,0.01,"('190205 klasse 3b        a205', 'ligdagen - alle spec.beh.kinderg.-reval.')",9.756087623080488e-05
Hospital,AggregateType.AVG,0.01,"('kalium potentiometrisch', 'sgot - asat kinetisch')",0.015437523030462849
Hospital,AggregateType.AVG,0.01,"('sgot - asat kinetisch', 'sgpt - alat kinetisch')",0.0029378831155026873
Hospital,AggregateType.AVG,0.01,"('sgpt - alat kinetisch', 'melkzuurdehydrogenase -ldh- kinetisch')",0.027242813885967165
Hospital,AggregateType.AVG,0.01,"('melkzuurdehydrogenase -ldh- kinetisch', 'differentiele telling automatisch')",0.14793184655975697
Hospital,AggregateType.AVG,0.01,"('differentiele telling automatisch', 'leukocyten tellen elektronisch')",0.011844618769004792
Hospital,AggregateType.AVG,0.01,"('trombocyten tellen - elektronisch', 'trombotest')",8.480696787011667
Hospital,AggregateType.AVG,0.01,"('trombotest', 'crp c-reactief proteine')",0.2487781835301243
Hospital,AggregateType.AVG,0.01,"('crp c-reactief proteine', 'ordertarief')",0.02538338615010304
Hospital,AggregateType.AVG,0.01,"('ordertarief', '190205 klasse 3b        a205')",0.0024784864727898643
Hospital,AggregateType.AVG,0.01,"('ligdagen - alle spec.beh.kinderg.-reval.', '190205 klasse 3b        a205')",0.009177800538083232
Hospital,AggregateType.AVG,0.01,"('aanname laboratoriumonderzoek', 'trombotest')",0.6407509477629348
Hospital,AggregateType.AVG,0.01,"('trombotest', 'ordertarief')",0.0288723180008082
Hospital,AggregateType.AVG,0.01,"('ligdagen - alle spec.beh.kinderg.-reval.', '190021 klinische opname a002')",0.06285306590421967
Hospital,AggregateType.AVG,0.01,"('190021 klinische opname a002', 'ligdagen - alle spec.beh.kinderg.-reval.')",0.08302956517013713
Hospital,AggregateType.AVG,0.01,"('ligdagen - alle spec.beh.kinderg.-reval.', 'brachytherapie - interstitieel - intensi')",0.05929160950446141
Hospital,AggregateType.AVG,0.01,"('brachytherapie - interstitieel - intensi', '190205 klasse 3b        a205')",0.019450470657113757
Hospital,AggregateType.AVG,0.01,"('190205 klasse 3b        a205', 'aanname laboratoriumonderzoek')",0.004304786969422887
Hospital,AggregateType.AVG,0.01,"('aanname laboratoriumonderzoek', 'bacteriologisch onderzoek met kweek -nie')",0.49224999637411276
Hospital,AggregateType.AVG,0.01,"('hepatitis-b surface antigeen confirmatie', 'ordertarief')",0.7779515662046688
Hospital,AggregateType.AVG,0.01,"('inwend.geneesk.  korte kaart kosten-out', '1e consult poliklinisch')",0.6214317826880298
Hospital,AggregateType.AVG,0.01,"('verlosk.-gynaec. korte kaart kosten-out', 'vervolgconsult poliklinisch')",4.439068795546908
Hospital,AggregateType.AVG,0.01,"('vervolgconsult poliklinisch', 'administratief tarief       - eerste pol')",0.03466346528615914
Hospital,AggregateType.AVG,0.01,"('administratief tarief       - eerste pol', 'vervolgconsult poliklinisch')",0.12048622646066956
Hospital,AggregateType.AVG,0.01,"('vervolgconsult poliklinisch', 'ligdagen - alle spec.beh.kinderg.-reval.')",0.0737128940473024
Hospital,AggregateType.AVG,0.01,"('aanname laboratoriumonderzoek', 'creatinine - spoed')",0.048587065363521344
Hospital,AggregateType.AVG,0.01,"('creatinine - spoed', 'ijzer')",4.119661926711843
Hospital,AggregateType.AVG,0.01,"('ijzer', 'natrium - vlamfotometrisch - spoed')",1.6227614639926422
