dataset,aggregate_type,delta,edge,APE_freq
Sepsis,AggregateType.AVG,0.1,"('Leucocytes', 'CRP')",0.0018194474532763532
Sepsis,AggregateType.AVG,0.1,"('ER Triage', 'ER Sepsis Triage')",0.004985673436250653
Sepsis,AggregateType.AVG,0.1,"('ER Sepsis Triage', 'IV Liquid')",0.008263197171270987
Sepsis,AggregateType.AVG,0.1,"('IV Liquid', 'IV Antibiotics')",0.004256705147465433
Sepsis,AggregateType.AVG,0.1,"('IV Antibiotics', 'Admission NC')",0.004640605049412805
Sepsis,AggregateType.AVG,0.1,"('ER Registration', 'ER Triage')",0.010304643591551275
Sepsis,AggregateType.AVG,0.1,"('LacticAcid', 'Leucocytes')",0.010111341492857775
Sepsis,AggregateType.AVG,0.1,"('CRP', 'Release A')",0.01379296725271897
Sepsis,AggregateType.AVG,0.1,"('Admission NC', 'Leucocytes')",0.0054466744209133045
Sepsis,AggregateType.AVG,0.1,"('Release A', 'Return ER')",0.012674446104220647
Sepsis,AggregateType.AVG,0.1,"('Admission IC', 'LacticAcid')",0.0630124036967048
Sepsis,AggregateType.AVG,0.1,"('CRP', 'Release B')",0.02545545634274161
Sepsis,AggregateType.AVG,0.1,"('IV Antibiotics', 'Admission IC')",0.009567767928735179
Sepsis,AggregateType.AVG,0.1,"('CRP', 'Release C')",0.3481626015269988
Sepsis,AggregateType.AVG,0.1,"('CRP', 'Release D')",0.028522977763886015
Sepsis,AggregateType.AVG,0.1,"('CRP', 'Release E')",0.9235283660800278
Sepsis,AggregateType.SUM,0.1,"('Leucocytes', 'CRP')",0.004076063896931091
Sepsis,AggregateType.SUM,0.1,"('ER Triage', 'ER Sepsis Triage')",0.0007235383799373151
Sepsis,AggregateType.SUM,0.1,"('ER Sepsis Triage', 'IV Liquid')",0.0038443373839401685
Sepsis,AggregateType.SUM,0.1,"('IV Liquid', 'IV Antibiotics')",0.00015353275367402318
Sepsis,AggregateType.SUM,0.1,"('IV Antibiotics', 'Admission NC')",0.003026061829220577
Sepsis,AggregateType.SUM,0.1,"('ER Registration', 'ER Triage')",0.00805925555661652
Sepsis,AggregateType.SUM,0.1,"('LacticAcid', 'Leucocytes')",0.00823336851029194
Sepsis,AggregateType.SUM,0.1,"('CRP', 'Release A')",0.008228115749286525
Sepsis,AggregateType.SUM,0.1,"('Admission NC', 'Leucocytes')",0.011051767619854186
Sepsis,AggregateType.SUM,0.1,"('Release A', 'Return ER')",0.0003817355232789755
Sepsis,AggregateType.SUM,0.1,"('Admission IC', 'LacticAcid')",0.021958346562596858
Sepsis,AggregateType.SUM,0.1,"('CRP', 'Release B')",0.01392749489476268
