dataset,aggregate_type,delta,edge,APE_time
BPIC20,AggregateType.AVG,0.01,"('End trip', 'Permit SUBMITTED by EMPLOYEE')",4.415097979950359
BPIC20,AggregateType.AVG,0.01,"('Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by EMPLOYEE')",0.23796721256908362
BPIC20,AggregateType.AVG,0.01,"('Permit FINAL_APPROVED by SUPERVISOR', 'Declaration APPROVED by PRE_APPROVER')",0.0
BPIC20,AggregateType.AVG,0.01,"('Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment APPROVED by PRE_APPROVER')",3.617781995246953
BPIC20,AggregateType.AVG,0.01,"('Payment Handled', 'Request For Payment SUBMITTED by EMPLOYEE')",0.3334234966735665
BPIC20,AggregateType.AVG,0.01,"('End trip', 'Permit FINAL_APPROVED by DIRECTOR')",3.278282463659113
BPIC20,AggregateType.AVG,0.01,"('Declaration APPROVED by SUPERVISOR', 'Declaration FINAL_APPROVED by DIRECTOR')",2.3136395770812297
BPIC20,AggregateType.AVG,0.01,"('Declaration FINAL_APPROVED by DIRECTOR', 'Declaration REJECTED by MISSING')",0.18383713301360585
BPIC20,AggregateType.AVG,0.01,"('Permit REJECTED by MISSING', 'Send Reminder')",0.0
BPIC20,AggregateType.AVG,0.01,"('Permit SUBMITTED by EMPLOYEE', 'Permit REJECTED by PRE_APPROVER')",0.3384277401844276
BPIC20,AggregateType.AVG,0.01,"('Declaration APPROVED by SUPERVISOR', 'Declaration REJECTED by DIRECTOR')",1.3236978463133844
BPIC20,AggregateType.AVG,0.01,"('Declaration REJECTED by DIRECTOR', 'Declaration REJECTED by EMPLOYEE')",0.17031779788221593
BPIC20,AggregateType.AVG,0.01,"('Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment REJECTED by PRE_APPROVER')",1.35078278174523
BPIC20,AggregateType.AVG,0.01,"('Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by EMPLOYEE')",2.1964890119579397
BPIC20,AggregateType.AVG,0.01,"('Declaration APPROVED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR')",0.18444924302534654
BPIC20,AggregateType.AVG,0.01,"('Request For Payment REJECTED by MISSING', 'Start trip')",0.0
BPIC20,AggregateType.AVG,0.01,"('Permit FINAL_APPROVED by DIRECTOR', 'Declaration SAVED by EMPLOYEE')",0.7062926353780857
BPIC20,AggregateType.AVG,0.01,"('Declaration SUBMITTED by EMPLOYEE', 'Start trip')",1.2136672322573931
BPIC20,AggregateType.AVG,0.01,"('End trip', 'Declaration FINAL_APPROVED by SUPERVISOR')",0.5264958710948079
BPIC20,AggregateType.AVG,0.01,"('Permit APPROVED by PRE_APPROVER', 'Permit REJECTED by SUPERVISOR')",0.7619802289897003
BPIC20,AggregateType.AVG,0.01,"('Declaration REJECTED by MISSING', 'Permit REJECTED by MISSING')",0.0
BPIC20,AggregateType.AVG,0.01,"('End trip', 'Permit APPROVED by PRE_APPROVER')",1.1690757600446828
BPIC20,AggregateType.AVG,0.01,"('End trip', 'Declaration REJECTED by PRE_APPROVER')",0.0
BPIC20,AggregateType.AVG,0.01,"('Permit REJECTED by SUPERVISOR', 'Start trip')",0.11276295282418139
BPIC20,AggregateType.AVG,0.01,"('Request For Payment APPROVED by PRE_APPROVER', 'Permit FINAL_APPROVED by SUPERVISOR')",0.027634714857361464
BPIC20,AggregateType.AVG,0.01,"('Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment APPROVED by SUPERVISOR')",0.3584980464093796
BPIC20,AggregateType.AVG,0.01,"('Payment Handled', 'Request For Payment REJECTED by MISSING')",0.0
BPIC20,AggregateType.AVG,0.01,"('Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment FINAL_APPROVED by SUPERVISOR')",0.47976137522275353
BPIC20,AggregateType.AVG,0.01,"('Request For Payment SAVED by EMPLOYEE', 'Start trip')",0.8134325468107496
BPIC20,AggregateType.AVG,0.01,"('Declaration FINAL_APPROVED by SUPERVISOR', 'Payment Handled')",3.9054092619148646
BPIC20,AggregateType.AVG,0.01,"('Permit SUBMITTED by EMPLOYEE', 'Permit REJECTED by ADMINISTRATION')",3.0922214693501804
BPIC20,AggregateType.AVG,0.01,"('Permit REJECTED by PRE_APPROVER', 'Start trip')",0.0
BPIC20,AggregateType.AVG,0.01,"('Permit REJECTED by EMPLOYEE', 'End trip')",1.37727010932862
BPIC20,AggregateType.AVG,0.01,"('Declaration APPROVED by ADMINISTRATION', 'Declaration REJECTED by BUDGET OWNER')",1.0718288044688267
BPIC20,AggregateType.AVG,0.01,"('Permit APPROVED by ADMINISTRATION', 'Permit REJECTED by BUDGET OWNER')",0.24347910892498836
BPIC20,AggregateType.AVG,0.01,"('Permit REJECTED by BUDGET OWNER', 'Permit REJECTED by EMPLOYEE')",1.034327458818212
BPIC20,AggregateType.AVG,0.01,"('Payment Handled', 'Request For Payment APPROVED by BUDGET OWNER')",0.659935774141313
BPIC20,AggregateType.AVG,0.01,"('End trip', 'Permit APPROVED by ADMINISTRATION')",4.187752483312744
BPIC20,AggregateType.AVG,0.01,"('Start trip', 'Request For Payment FINAL_APPROVED by DIRECTOR')",0.0
BPIC20,AggregateType.AVG,0.01,"('Payment Handled', 'Declaration REJECTED by ADMINISTRATION')",0.0
BPIC20,AggregateType.AVG,0.01,"('Declaration SAVED by EMPLOYEE', 'End trip')",1.5894504668933858
BPIC20,AggregateType.AVG,0.01,"('Payment Handled', 'Declaration APPROVED by ADMINISTRATION')",1.178352946792287
BPIC20,AggregateType.AVG,0.01,"('Declaration REJECTED by EMPLOYEE', 'Start trip')",0.03602018932877348
BPIC20,AggregateType.AVG,0.01,"('Request For Payment APPROVED by ADMINISTRATION', 'Request For Payment REJECTED by BUDGET OWNER')",2.7311844062703043
BPIC20,AggregateType.AVG,0.01,"('Payment Handled', 'Declaration APPROVED by BUDGET OWNER')",0.7150956485643651
BPIC20,AggregateType.AVG,0.01,"('Permit REJECTED by ADMINISTRATION', 'Send Reminder')",0.0
BPIC20,AggregateType.AVG,0.01,"('Permit FINAL_APPROVED by SUPERVISOR', 'Request For Payment APPROVED by ADMINISTRATION')",0.550694076254355
BPIC20,AggregateType.AVG,0.01,"('Declaration REJECTED by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by SUPERVISOR')",0.0
BPIC20,AggregateType.AVG,0.01,"('Request For Payment APPROVED by BUDGET OWNER', 'Request For Payment REJECTED by SUPERVISOR')",0.17366457779126296
BPIC20,AggregateType.AVG,0.01,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by EMPLOYEE')",0.0
BPIC20,AggregateType.AVG,0.01,"('Declaration REJECTED by BUDGET OWNER', 'Declaration SUBMITTED by EMPLOYEE')",0.0
BPIC20,AggregateType.AVG,0.01,"('Request For Payment FINAL_APPROVED by SUPERVISOR', 'Send Reminder')",0.0
BPIC20,AggregateType.AVG,0.01,"('Send Reminder', 'Request Payment')",0.0
BPIC20,AggregateType.AVG,0.01,"('Permit SUBMITTED by EMPLOYEE', 'Permit FOR_APPROVAL by ADMINISTRATION')",0.0
BPIC20,AggregateType.AVG,0.01,"('Permit FOR_APPROVAL by ADMINISTRATION', 'Start trip')",0.0
BPIC20,AggregateType.AVG,0.01,"('Declaration APPROVED by BUDGET OWNER', 'Request For Payment REJECTED by SUPERVISOR')",0.0
BPIC20,AggregateType.AVG,0.01,"('Request For Payment REJECTED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR')",0.0
BPIC20,AggregateType.AVG,0.01,"('Permit APPROVED by SUPERVISOR', 'Permit REJECTED by DIRECTOR')",0.6358469082721272
BPIC20,AggregateType.AVG,0.01,"('Permit REJECTED by DIRECTOR', 'Permit REJECTED by EMPLOYEE')",0.23472261983702258
BPIC20,AggregateType.AVG,0.01,"('Send Reminder', 'Request For Payment SAVED by EMPLOYEE')",0.0
BPIC20,AggregateType.AVG,0.01,"('Send Reminder', 'Permit REJECTED by EMPLOYEE')",0.0
BPIC20,AggregateType.AVG,0.01,"('Request For Payment APPROVED by SUPERVISOR', 'End trip')",0.0
BPIC20,AggregateType.AVG,0.01,"('Payment Handled', 'Request For Payment REJECTED by ADMINISTRATION')",0.0
BPIC20,AggregateType.AVG,0.01,"('End trip', 'Declaration APPROVED by SUPERVISOR')",0.0
BPIC20,AggregateType.AVG,0.01,"('Request For Payment REJECTED by SUPERVISOR', 'Declaration REJECTED by EMPLOYEE')",0.0
BPIC20,AggregateType.AVG,0.01,"('Permit SAVED by EMPLOYEE', 'End trip')",0.0
BPIC20,AggregateType.AVG,0.01,"('Request For Payment REJECTED by EMPLOYEE', 'Permit APPROVED by SUPERVISOR')",0.0
BPIC20,AggregateType.AVG,0.01,"('Request Payment', 'Permit APPROVED by BUDGET OWNER')",0.11167095279220932
BPIC20,AggregateType.AVG,0.01,"('Permit APPROVED by BUDGET OWNER', 'Permit FOR_APPROVAL by SUPERVISOR')",0.0
BPIC20,AggregateType.AVG,0.01,"('Permit FOR_APPROVAL by SUPERVISOR', 'Send Reminder')",0.0
BPIC20,AggregateType.AVG,0.05,"('End trip', 'Permit SUBMITTED by EMPLOYEE')",0.201606344726217
BPIC20,AggregateType.AVG,0.05,"('Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by EMPLOYEE')",0.07439628387081
BPIC20,AggregateType.AVG,0.05,"('Permit FINAL_APPROVED by SUPERVISOR', 'Declaration APPROVED by PRE_APPROVER')",0.0
BPIC20,AggregateType.AVG,0.05,"('Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment APPROVED by PRE_APPROVER')",0.7241726316016087
BPIC20,AggregateType.AVG,0.05,"('Payment Handled', 'Request For Payment SUBMITTED by EMPLOYEE')",0.198192783281221
