dataset,aggregate_type,delta,edge,APE_time
CCC19,AggregateType.AVG,0.1,"('Compression identification', 'Gel in probe')",0.0
CCC19,AggregateType.AVG,0.1,"('Get in sterile clothes', 'Hand washing')",0.4913884895964922
CCC19,AggregateType.AVG,0.1,"('Clean puncture area', 'Drap puncture area')",0.3884766547270619
CCC19,AggregateType.AVG,0.1,"('Cover probe', 'Put sterile gel')",0.42813328876582357
CCC19,AggregateType.AVG,0.1,"('Put sterile gel', 'Anatomic identification')",0.0
CCC19,AggregateType.AVG,0.1,"('Anatomic identification', 'Ultrasound configuration')",0.0831518857157139
CCC19,AggregateType.AVG,0.1,"('Anesthetize', 'Anatomic identification')",0.0
CCC19,AggregateType.AVG,0.1,"('Puncture', 'Blood return')",0.518509197181663
CCC19,AggregateType.AVG,0.1,"('Blood return', 'Drop probe')",0.6540680980506344
CCC19,AggregateType.AVG,0.1,"('Drop probe', 'Remove syringe')",0.3081074266217314
CCC19,AggregateType.AVG,0.1,"('Remove syringe', 'Guidewire install')",0.0041678656609906595
CCC19,AggregateType.AVG,0.1,"('Check wire in short axis', 'Check wire in long axis')",0.03850783540571971
CCC19,AggregateType.AVG,0.1,"('Widen pathway', 'Advance catheter')",0.2561703635816891
CCC19,AggregateType.AVG,0.1,"('Remove guidewire', 'Check flow and reflow')",0.08032246959618823
CCC19,AggregateType.AVG,0.1,"('Check flow and reflow', 'Check catheter position')",0.1467809649075953
CCC19,AggregateType.AVG,0.1,"('Drap puncture area', 'Prepare implements')",0.0039912727951246065
CCC19,AggregateType.AVG,0.1,"('Position probe', 'Ultrasound configuration')",0.009069533512067789
CCC19,AggregateType.AVG,0.1,"('Guidewire install', 'Remove trocar')",0.48584202221991524
CCC19,AggregateType.AVG,0.1,"('Remove trocar', 'Widen pathway')",0.04894560348786055
CCC19,AggregateType.AVG,0.1,"('Compression identification', 'Doppler identification')",0.4181160657191801
CCC19,AggregateType.AVG,0.1,"('Doppler identification', 'Anesthetize')",0.2778407540264614
CCC19,AggregateType.AVG,0.1,"('Check wire in long axis', 'Wire in good position')",0.0
CCC19,AggregateType.AVG,0.1,"('Wire in good position', 'Advance catheter')",0.0
CCC19,AggregateType.AVG,0.1,"('Prepare implements', 'Position probe')",0.22438610080487242
CCC19,AggregateType.AVG,0.1,"('Prepare implements', 'Cover probe')",0.02939832974815193
CCC19,AggregateType.AVG,0.1,"('Gel in probe', 'Put sterile gel')",0.0
CCC19,AggregateType.AVG,0.1,"('Check wire in long axis', 'Compression identification')",0.0
CCC19,AggregateType.AVG,0.1,"('Drop probe', 'Puncture')",0.0
CCC19,AggregateType.AVG,0.1,"('Advance catheter', 'Check wire in short axis')",0.021578145358003196
CCC19,AggregateType.AVG,0.1,"('Check wire in long axis', 'Remove guidewire')",0.0
CCC19,AggregateType.AVG,0.1,"('Position patient', 'Clean puncture area')",0.0
CCC19,AggregateType.AVG,0.1,"('Hand washing', 'Prepare implements')",0.0
CCC19,AggregateType.AVG,0.1,"('Compression identification', 'Get in sterile clothes')",0.0
CCC19,AggregateType.SUM,0.1,"('Compression identification', 'Gel in probe')",0.0
CCC19,AggregateType.SUM,0.1,"('Get in sterile clothes', 'Hand washing')",0.12847744119915752
CCC19,AggregateType.SUM,0.1,"('Clean puncture area', 'Drap puncture area')",0.8388694162423546
CCC19,AggregateType.SUM,0.1,"('Cover probe', 'Put sterile gel')",0.27106617732078675
CCC19,AggregateType.SUM,0.1,"('Put sterile gel', 'Anatomic identification')",0.0
