dataset,aggregate_type,delta,edge,APE_time
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('Admission NC', 'Leucocytes')",0.062299691707823776
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('Release A', 'Return ER')",0.8676198871554582
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('Admission IC', 'Admission NC')",0.12620593843965372
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('CRP', 'Release B')",0.22523575004803761
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('ER Sepsis Triage', 'Admission NC')",0.10450516807801041
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('Admission NC', 'LacticAcid')",0.011413032584742565
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('LacticAcid', 'Release A')",0.019822270543310275
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('Release D', 'Return ER')",0.8488445126261149
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('ER Triage', 'ER Registration')",0.11393461478486742
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('IV Liquid', 'Release A')",0.026341633324749956
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('Admission NC', 'Release D')",0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('Admission NC', 'IV Antibiotics')",0.8404060145333698
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('Admission NC', 'Release C')",0.03525066074952211
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('Release C', 'Return ER')",0.9474929552340806
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('Release B', 'Admission NC')",0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('Leucocytes', 'Release E')",0.30594035036131906
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('Admission NC', 'ER Sepsis Triage')",0.3711325503592231
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('IV Antibiotics', 'Release A')",0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('Return ER', 'CRP')",0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('ER Registration', 'Admission IC')",0.0
Sepsis Cases - Event Log,AggregateType.AVG,0.1,"('Admission NC', 'ER Triage')",0.0
Sepsis Cases - Event Log,AggregateType.SUM,0.1,"('Admission NC', 'Leucocytes')",0.06400785818192929
Sepsis Cases - Event Log,AggregateType.SUM,0.1,"('Release A', 'Return ER')",0.04271142250052531
Sepsis Cases - Event Log,AggregateType.SUM,0.1,"('Admission IC', 'Admission NC')",3.0814568883745874
Sepsis Cases - Event Log,AggregateType.SUM,0.1,"('CRP', 'Release B')",0.4438008838857363
Sepsis Cases - Event Log,AggregateType.SUM,0.1,"('ER Sepsis Triage', 'Admission NC')",0.029467213468874855
Sepsis Cases - Event Log,AggregateType.SUM,0.1,"('Admission NC', 'LacticAcid')",0.4214537942180099
Sepsis Cases - Event Log,AggregateType.SUM,0.1,"('LacticAcid', 'Release A')",0.05044586111958453
