dataset,aggregate_type,delta,edge,APE_time
Sepsis,AggregateType.AVG,0.7,"('ER Registration', 'Leucocytes')",0.0
Sepsis,AggregateType.AVG,0.7,"('Leucocytes', 'CRP')",0.2570040738421683
Sepsis,AggregateType.AVG,0.7,"('CRP', 'LacticAcid')",0.07319958510152917
Sepsis,AggregateType.AVG,0.7,"('LacticAcid', 'ER Triage')",0.0
Sepsis,AggregateType.AVG,0.7,"('ER Triage', 'ER Sepsis Triage')",0.3115151498450416
Sepsis,AggregateType.AVG,0.7,"('ER Sepsis Triage', 'IV Liquid')",0.04876786713393168
Sepsis,AggregateType.AVG,0.7,"('IV Liquid', 'IV Antibiotics')",0.1418529142044003
Sepsis,AggregateType.AVG,0.7,"('IV Antibiotics', 'Admission NC')",0.025765312931598214
Sepsis,AggregateType.AVG,0.7,"('Admission NC', 'CRP')",0.01807949954609204
Sepsis,AggregateType.AVG,0.7,"('CRP', 'Leucocytes')",0.055719591392997835
Sepsis,AggregateType.AVG,0.7,"('Leucocytes', 'Leucocytes')",0.03369204757806052
Sepsis,AggregateType.AVG,0.7,"('CRP', 'CRP')",0.014351010054232421
Sepsis,AggregateType.AVG,0.7,"('Leucocytes', 'Release A')",0.005859136542658852
Sepsis,AggregateType.AVG,0.7,"('ER Registration', 'ER Triage')",0.031235023438263735
Sepsis,AggregateType.AVG,0.7,"('ER Triage', 'CRP')",0.010922246467367011
Sepsis,AggregateType.AVG,0.7,"('LacticAcid', 'Leucocytes')",0.14183013184247473
Sepsis,AggregateType.AVG,0.7,"('Leucocytes', 'ER Sepsis Triage')",0.012590204513377444
Sepsis,AggregateType.AVG,0.7,"('CRP', 'Release A')",0.00025351351661960254
Sepsis,AggregateType.AVG,0.7,"('ER Sepsis Triage', 'Leucocytes')",0.025973775798101298
Sepsis,AggregateType.AVG,0.7,"('CRP', 'IV Liquid')",0.0024617109828843258
Sepsis,AggregateType.AVG,0.7,"('Admission NC', 'Admission NC')",0.005664659316232693
Sepsis,AggregateType.AVG,0.7,"('Admission NC', 'Leucocytes')",0.006807561502329686
Sepsis,AggregateType.AVG,0.7,"('ER Sepsis Triage', 'CRP')",0.004561459844982066
Sepsis,AggregateType.AVG,0.7,"('Leucocytes', 'IV Liquid')",0.010230430434227536
Sepsis,AggregateType.AVG,0.7,"('Release A', 'Return ER')",0.003046671821916762
Sepsis,AggregateType.AVG,0.7,"('IV Liquid', 'CRP')",0.010023906239848182
Sepsis,AggregateType.AVG,0.7,"('Leucocytes', 'LacticAcid')",0.0511743886992866
Sepsis,AggregateType.AVG,0.7,"('LacticAcid', 'IV Antibiotics')",0.0020751316539969664
Sepsis,AggregateType.AVG,0.7,"('IV Antibiotics', 'IV Liquid')",0.10325027399533578
Sepsis,AggregateType.AVG,0.7,"('IV Liquid', 'Admission NC')",0.005009295617737953
Sepsis,AggregateType.AVG,0.7,"('Admission NC', 'Release A')",0.0065043335924156115
Sepsis,AggregateType.AVG,0.7,"('IV Antibiotics', 'LacticAcid')",0.005600469819594286
Sepsis,AggregateType.AVG,0.7,"('LacticAcid', 'CRP')",0.056238007634021675
Sepsis,AggregateType.AVG,0.7,"('Leucocytes', 'Admission NC')",0.010961612742478708
Sepsis,AggregateType.AVG,0.7,"('Leucocytes', 'Admission IC')",0.0030117122368869416
Sepsis,AggregateType.AVG,0.7,"('Admission IC', 'Admission NC')",0.0
Sepsis,AggregateType.AVG,0.7,"('CRP', 'Admission NC')",0.024371382153526203
Sepsis,AggregateType.AVG,0.7,"('Admission NC', 'Release B')",0.001482609850869592
Sepsis,AggregateType.AVG,0.7,"('ER Sepsis Triage', 'IV Antibiotics')",0.0036015074264884608
