'aanname laboratoriumonderzoek', 'aanname laboratoriumonderzoek',8571
'190205 klasse 3b        a205', '190101 bovenreg.toesl.  a101',5693
'190101 bovenreg.toesl.  a101', 'ligdagen - alle spec.beh.kinderg.-reval.',4662
'ligdagen - alle spec.beh.kinderg.-reval.', '190205 klasse 3b        a205',4307
'natrium vlamfotometrisch', 'kalium potentiometrisch',3728
'ligdagen - alle spec.beh.kinderg.-reval.', 'aanname laboratoriumonderzoek',3019
'hemoglobine foto-elektrisch', 'creatinine',2923
'leukocyten tellen elektronisch', 'trombocyten tellen - elektronisch',2569
'190205 klasse 3b        a205', 'ligdagen - alle spec.beh.kinderg.-reval.',2476
'ordertarief', 'ordertarief',2226
'creatinine', 'natrium vlamfotometrisch',2188
'ordertarief', '190205 klasse 3b        a205',2030
'aanname laboratoriumonderzoek', 'hemoglobine foto-elektrisch',1949
'ordertarief', 'vervolgconsult poliklinisch',1865
'190021 klinische opname a002', '190205 klasse 3b        a205',1656
'bloedgroep abo en rhesusfactor', 'rhesusfactor d - centrifugeermethode - e',1533
'sgot - asat kinetisch', 'sgpt - alat kinetisch',1435
'ureum', 'hemoglobine foto-elektrisch',1340
'kalium potentiometrisch', 'sgot - asat kinetisch',1299
'vervolgconsult poliklinisch', 'administratief tarief       - eerste pol',1212
'alkalische fosfatase -kinetisch-', 'natrium vlamfotometrisch',1205
'creatinine', 'alkalische fosfatase -kinetisch-',1113
'vervolgconsult poliklinisch', 'vervolgconsult poliklinisch',1071
'kalium potentiometrisch', 'differentiele telling automatisch',1059
'sgpt - alat kinetisch', 'melkzuurdehydrogenase -ldh- kinetisch',1045
'kruisproef volledig -drie methoden-', 'kruisproef volledig -drie methoden-',1039
'ca-125 mbv meia', 'ordertarief',1036
'trombocyten tellen - elektronisch', 'gammaglutamyltranspeptidase',1012
'glucose', 'ureum',983
'calcium', 'albumine',964
'ligdagen - alle spec.beh.kinderg.-reval.', 'ligdagen - alle spec.beh.kinderg.-reval.',962
'differentiele telling automatisch', 'leukocyten tellen elektronisch',934
'bilirubine - totaal', 'glucose',927
'screening antistoffen erytrocyten', 'ordertarief',925
'1e consult poliklinisch', 'administratief tarief       - eerste pol',906
'differentiele telling automatisch', 'haemoglobine foto-electrisch - spoed',900
'bilirubine -geconjugeerd', 'bilirubine - totaal',888
'haemoglobine foto-electrisch - spoed', 'trombocyten tellen - spoed',885
'aanname laboratoriumonderzoek', 'bilirubine -geconjugeerd',878
'o2-saturatie', 'o2-saturatie',783
'ordertarief', '190021 klinische opname a002',762
'natrium - vlamfotometrisch - spoed', 'kalium vlamfotometrisch - spoed',745
'bacteriologisch onderzoek met kweek -nie', 'bacteriologisch onderzoek met kweek -nie',722
'bicarbonaat', 'bicarbonaat',716
'actuele ph - pco2 - stand.bicarbonaat', 'actuele ph - pco2 - stand.bicarbonaat',714
'trombocyten tellen - spoed', 'leucocyten tellen -electronisch- spoed',710
'trombocyten tellen - elektronisch', 'ordertarief',692
'methemoglobine - sulfhemoglobine elk', 'methemoglobine - sulfhemoglobine elk',690
'co-hb kwn.', 'co-hb kwn.',690
'hematocriet mbv centrifuge', 'leukocyten tellen elektronisch',645
'albumine', 'screening antistoffen erytrocyten',606
'vervolgconsult poliklinisch', 'ligdagen - alle spec.beh.kinderg.-reval.',602
'glucose', 'glucose',582
'leucocyten tellen -electronisch- spoed', 'ordertarief',579
'melkzuurdehydrogenase -ldh- kinetisch', 'bloedgroep abo en rhesusfactor',569
'gefiltreerd erytrocytenconcentraat', 'gefiltreerd erytrocytenconcentraat',562
'ligdagen - alle spec.beh.kinderg.-reval.', '190021 klinische opname a002',545
'ordertarief', 'thorax',539
'aanname laboratoriumonderzoek', 'creatinine',539
'rhesusfactor d - centrifugeermethode - e', 'leukocyten tellen elektronisch',528
'kalium potentiometrisch', 'kalium potentiometrisch',515
'administratief tarief       - eerste pol', 'vervolgconsult poliklinisch',509
'natrium vlamfotometrisch', 'natrium vlamfotometrisch',508
'calcium', 'calcium',501
'differentiele telling automatisch', 'hematocriet mbv centrifuge',494
'hemoglobine foto-elektrisch', 'hemoglobine foto-elektrisch',488
'vervolgconsult poliklinisch', 'aanname laboratoriumonderzoek',456
'aanname laboratoriumonderzoek', 'ureum',453
'creatinine - spoed', 'natrium - vlamfotometrisch - spoed',430
'magnesium  -aas', 'ordertarief',418
'gefiltreerd erytrocytenconcentraat', 'ligdagen - alle spec.beh.kinderg.-reval.',413
'screening antistoffen erytrocyten', 'ca-125 mbv meia',411
'vervolgconsult poliklinisch', 'telefonisch consult',409
'aanname laboratoriumonderzoek', 'glucose',408
'aanname laboratoriumonderzoek', 'creatinine - spoed',384
'gammaglutamyltranspeptidase', 'calcium',383
'ligdagen - alle spec.beh.kinderg.-reval.', '190204 klasse 3a        a204',375
'190204 klasse 3a        a204', '190101 bovenreg.toesl.  a101',365
'haemoglobine foto-electrisch - spoed', 'haemoglobine foto-electrisch - spoed',356
'gammaglutamyltranspeptidase', 'cea - tumormarker mbv meia',344
'calcium - spoed', 'calcium - spoed',343
