case:concept:name,concept:name,time:timestamp,lifecycle:transition
c4799da16227b162eb27d36931d5e16b70c5df678330732b10243ce988b7fa42,A,2020-08-08 10:20:00+00:00,complete
f067922e7d3b8c39334d4cf4a506117cbbc982b6b31098a6b09aa379410c3566,A,2020-08-08 13:30:00+00:00,complete
c4799da16227b162eb27d36931d5e16b70c5df678330732b10243ce988b7fa42,B,2020-08-08 10:56:58.366360950+00:00,complete
f067922e7d3b8c39334d4cf4a506117cbbc982b6b31098a6b09aa379410c3566,B,2020-08-08 14:09:08.670218190+00:00,complete
c4799da16227b162eb27d36931d5e16b70c5df678330732b10243ce988b7fa42,C,2020-08-08 19:48:00.679755420+00:00,complete
f067922e7d3b8c39334d4cf4a506117cbbc982b6b31098a6b09aa379410c3566,C,2020-08-09 02:26:40.375069440+00:00,complete
9b6376d2c657c4c04d9419840c98f4c66245db8dd82344d02d8caebf2c115a32,D,2020-08-08 12:07:00+00:00,complete
9b6376d2c657c4c04d9419840c98f4c66245db8dd82344d02d8caebf2c115a32,A,2020-08-08 14:25:24.986856900+00:00,complete
9b6376d2c657c4c04d9419840c98f4c66245db8dd82344d02d8caebf2c115a32,E,2020-08-08 15:19:34.235150070+00:00,complete
9b6376d2c657c4c04d9419840c98f4c66245db8dd82344d02d8caebf2c115a32,C,2020-08-08 23:01:53.463608400+00:00,complete
75a24afecbd017fb5f3d7ef33cfe6310798801b0c5ead734a1e929e9f61331c1,D,2020-08-08 15:00:00+00:00,complete
75a24afecbd017fb5f3d7ef33cfe6310798801b0c5ead734a1e929e9f61331c1,A,2020-08-08 17:36:36.976318710+00:00,complete
75a24afecbd017fb5f3d7ef33cfe6310798801b0c5ead734a1e929e9f61331c1,B,2020-08-08 19:11:35.118318450+00:00,complete
75a24afecbd017fb5f3d7ef33cfe6310798801b0c5ead734a1e929e9f61331c1,C,2020-08-09 03:37:27.565961250+00:00,complete
4c70030cb200e61599b33c5f8259b84ae32d0814db4a8d979a9d451444f21aca,A,2020-08-08 16:40:00+00:00,complete
4c70030cb200e61599b33c5f8259b84ae32d0814db4a8d979a9d451444f21aca,E,2020-08-08 18:00:25.204155810+00:00,complete
4c70030cb200e61599b33c5f8259b84ae32d0814db4a8d979a9d451444f21aca,C,2020-08-09 04:03:39.977906100+00:00,complete
a137f7b4ecb005c4ad8ee0339cfae5aec9ce028cb236de278bd6ecffc151dee5,A,2020-08-08 13:30:00+00:00,complete
a137f7b4ecb005c4ad8ee0339cfae5aec9ce028cb236de278bd6ecffc151dee5,B,2020-08-08 14:00:23.355699630+00:00,complete
a137f7b4ecb005c4ad8ee0339cfae5aec9ce028cb236de278bd6ecffc151dee5,C,2020-08-08 23:26:57.097557900+00:00,complete
8f9aeb5820917c959f60d9458df07c4722f6a58b723ab5f51b37102177cd43fc,A,2020-08-08 10:20:00+00:00,complete
8f9aeb5820917c959f60d9458df07c4722f6a58b723ab5f51b37102177cd43fc,B,2020-08-08 10:55:23.052106110+00:00,complete
8f9aeb5820917c959f60d9458df07c4722f6a58b723ab5f51b37102177cd43fc,C,2020-08-08 18:43:29.582297580+00:00,complete
a972d438d7af846d5f2a6f03be58de97a4285d5ef5509ba22cb2dc18e591909f,D,2020-08-08 12:07:00+00:00,complete
a972d438d7af846d5f2a6f03be58de97a4285d5ef5509ba22cb2dc18e591909f,A,2020-08-08 14:14:07.000463100+00:00,complete
a972d438d7af846d5f2a6f03be58de97a4285d5ef5509ba22cb2dc18e591909f,E,2020-08-08 14:59:39.824240760+00:00,complete
a972d438d7af846d5f2a6f03be58de97a4285d5ef5509ba22cb2dc18e591909f,C,2020-08-08 22:43:14.748510870+00:00,complete
eb1749997fffff678b14aa11ce6db0658580c2c8fd9dfadd7f920e12b8c69976,D,2020-08-08 15:00:00+00:00,complete
eb1749997fffff678b14aa11ce6db0658580c2c8fd9dfadd7f920e12b8c69976,A,2020-08-08 17:56:59.257555170+00:00,complete
eb1749997fffff678b14aa11ce6db0658580c2c8fd9dfadd7f920e12b8c69976,B,2020-08-08 18:35:14.308371630+00:00,complete
eb1749997fffff678b14aa11ce6db0658580c2c8fd9dfadd7f920e12b8c69976,C,2020-08-09 04:43:12.564993750+00:00,complete
9a1c441ce2bb4b6e8f3c985608925ed7d03c1b0b1c835ab66824ad72b710553c,D,2020-08-08 12:07:00+00:00,complete
9a1c441ce2bb4b6e8f3c985608925ed7d03c1b0b1c835ab66824ad72b710553c,A,2020-08-08 14:20:15.973302930+00:00,complete
9a1c441ce2bb4b6e8f3c985608925ed7d03c1b0b1c835ab66824ad72b710553c,E,2020-08-08 15:03:28.135538760+00:00,complete
9a1c441ce2bb4b6e8f3c985608925ed7d03c1b0b1c835ab66824ad72b710553c,C,2020-08-08 22:31:59.706650220+00:00,complete
